,Unnamed: 0,category,manufacturer,product,name,date,rating,text,newline_count,review_len,special_char_count,manufacturer_count,product_count
1,1,11stReview,쁘리엘르,침구,bose*****,2021.06.15,5,다좋아요.재질도좋고~~냉감이불은 진짜시원하고.근데 손톱이나 굳은살 뽀족한거에 찍히면 바로 뜯기는자국생기네용ㅠㅠ 보드랍고 좋은뎅 그리고 다른 이불들도 다 좋아요.근데 마감이... 라이터로 지지다가 배게 탈뻔ㅋㅋ 저렴하게샀으니 감안은 하지만 깔끔한마감이면 더 좋지 않았을까라는 아쉬움은 있네요~~^^,0,165,6,0,0
2,2,11stReview,쁘리엘르,침구,sydw***,2021.07.14,5,저번에 여름이불 샀는데 괜찮아서 다른디자인으로 재구매했어요^^ 여름이불로 얇아서 쓰기 좋아요. 까슬해서 몸에 안달라붙습니다 ㅎㅎ 남편도 부드러운거 좋아하는데 요즘은 너무 덥다고 까끌한 얇은 홑이불만 찾아요. 딜 떠서 베개커버까지 세트로 저렴히 샀네요. 흰색이랑 노랑꽃이 예쁘네요 사용하면서 누래지지만 않으면 좋겠다면서 ㅋㅋ 어차피 땀 흘리고 수시로 빨거라서 비싼것도 오래 못써요. 저처럼 세탁기 휘뚜루마뚜루 돌리는 사람은 너무 비싼거 부담스럽습니다ㅋ 실밥 마감도 이정도면 괜찮고요~ 올 나간것도 없고요~ 아주 만족 합니다! 행사 많이 해주셔요!^^많이 사게 ㅋㅋ,0,314,8,0,0
9,9,11stReview,쁘리엘르,침구,rany***,2021.06.25,5,그림 이쁘구요 프린팅도 잘 되어있네요~ 시어서커가 얼굴에 자국은 남기지만 그래도 여름에는 이런 이불 있어야 여러모로 좋은거 같아요~ 형제들 쓰려고 2세트 주문했어요~~^-^ 마감도 좋고 색상도 좋아요!,0,112,8,0,0
15,15,11stReview,쁘리엘르,침구,김새댁,2021.06.16,5,행사가격으로 잘 산거같아요~ 오자마자 세탁 했어요 오늘 날씨가 덥지만 바람 많이 불고 너무너무 좋아서 더 빨리 마르네요!! 하얀색이라 때 탈까 걱정이지만 여름 한철 시원하게 잘 사용하기 위해 과감하게 선택했어요 너무 맘에 듭니다 ^^,0,130,5,0,0
18,18,11stReview,쁘리엘르,침구,hyei****,2021.07.05,5,상품에 대한 질문 답변 빨리해주시고 배송도 엄청 빨랐어요!! 쇼킹딜 상품이기도 하고 택배 파업으로 1주일 정도 예상했는데 바로 도착했습니다. 제가 요청한 사항 배려해주시고 넘넘 감사합니다. 제품 품질도 넘넘 좋아요~~ 가성비 짱짱입니다.!! 겨울 베개커버도 판매하시면 와서 구매할게욧~~~♡,0,162,9,0,0
24,24,11stReview,쁘리엘르,침구,limw*****,2021.06.16,5,색상은 찍은 사진과 동일하고 시어서커라서 많이 까실까실 할줄알앗는데 다른 이불들보다 그나마 (?)찌끔 덜 까실한편입니다. 그래도 부드러운이불은 아니에요! 시어서커만의매력이있는이불입니다^-^,0,105,7,0,0
26,26,11stReview,쁘리엘르,침구,viol********,2021.06.30,5,작은방 침대에 쓰려고 주문했어요. 같은 컬러로 큰 사이즈가 있었으면 좋았을걸...ㅠㅠ 컬러감도 깔끔하고 재질도 감기는 천이라 마음에 들어요!! 잘 쓰겠습니다!!!,0,90,5,0,0
28,28,11stReview,쁘리엘르,침구,bose*****,2021.06.15,5,다좋아요.재질도좋고~~냉감이불은 진짜시원하고.근데 손톱이나 굳은살 뽀족한거에 찍히면 바로 뜯기는자국생기네용ㅠㅠ 보드랍고 좋은뎅 그리고 다른 이불들도 다 좋아요.근데 마감이... 라이터로 지지다가 배게 탈뻔ㅋㅋ 저렴하게샀으니 감안은 하지만 깔끔한마감이면 더 좋지 않았을까라는 아쉬움은 있네요~~^^,0,165,6,0,0
37,37,11stReview,쁘리엘르,침구,dlwl*******,2021.07.13,5,여름이라 애들 침대 이불 바꿔주려고 구매했어요^^ 주문하고 다음날 아침 일찍 발송해주셔서 빠르게 잘 받았어요^^ 보기엔 좀 까칠할것같았는데 만져보니 부드러운 재질인데다 아들이 좋아하는 공룡그림이 있어 너무 좋아합니다^^,0,122,6,0,0
59,59,11stReview,쁘리엘르,침구,viol********,2021.06.30,5,아이가 홑이불을 좋아하는데 새로 구입해봤어요. 혼자만 덮겠다고 난리네요^^ 시원해보이고 공룡그림도 귀여워요^^ 잘 쓰겠습니다!!,0,71,6,0,0
143,143,11stReview,쁘리엘르,침구,only******,2021.06.17,5,저렴하게 잘 구입한듯해서 만족해요 여름이불로 딱이에요 생각보다 더 얇고 가벼워서 좋아요~~~^^,0,53,5,0,0
149,149,11stReview,쁘리엘르,침구,only******,2021.06.17,5,여름이불로 두세트가 필요했는데 시원하보이고 딱이에요 저렴하게 잘산듯해요~~~ 여유분 더 주문해야겠어요~^^,0,59,6,0,0
