,name,manufacturer,product,date,rating,text,newline_count,review_len,special_char_count,manufacturer_count,product_count
0,haju******,쁘리엘르,침구,2021.06.18,5,여름에 풍기인견 이죠~~ 작년에 다른 브랜드꺼 풍기인견 사서 아이들이 잘쓰고있는데 남편이 탐내해서 풍기인견으로 주문했네요 남편혼자 덮으려고 싱글사이즈했는데 나쁘지 않아요 베개커버가 좀 아쉽네요 신경안쓴 그냥 원단 박아 커버쓸수 있게된 형태입니다 세탁후 약간의 쭈글거림이 있구요 베개커버는 홑겹이라 메모리폼베개커버로는 좀커요,0,180,2,0,0
1,bose*****,쁘리엘르,침구,2021.06.15,5,다좋아요.재질도좋고~~냉감이불은 진짜시원하고.근데 손톱이나 굳은살 뽀족한거에 찍히면 바로 뜯기는자국생기네용ㅠㅠ 보드랍고 좋은뎅 그리고 다른 이불들도 다 좋아요.근데 마감이... 라이터로 지지다가 배게 탈뻔ㅋㅋ 저렴하게샀으니 감안은 하지만 깔끔한마감이면 더 좋지 않았을까라는 아쉬움은 있네요~~^^,0,165,6,0,0
2,sydw***,쁘리엘르,침구,2021.07.14,5,저번에 여름이불 샀는데 괜찮아서 다른디자인으로 재구매했어요^^ 여름이불로 얇아서 쓰기 좋아요. 까슬해서 몸에 안달라붙습니다 ㅎㅎ 남편도 부드러운거 좋아하는데 요즘은 너무 덥다고 까끌한 얇은 홑이불만 찾아요. 딜 떠서 베개커버까지 세트로 저렴히 샀네요. 흰색이랑 노랑꽃이 예쁘네요 사용하면서 누래지지만 않으면 좋겠다면서 ㅋㅋ 어차피 땀 흘리고 수시로 빨거라서 비싼것도 오래 못써요. 저처럼 세탁기 휘뚜루마뚜루 돌리는 사람은 너무 비싼거 부담스럽습니다ㅋ 실밥 마감도 이정도면 괜찮고요~ 올 나간것도 없고요~ 아주 만족 합니다! 행사 많이 해주셔요!^^많이 사게 ㅋㅋ,0,314,6,0,0
3,sydw***,쁘리엘르,침구,2021.06.26,5,여름이불로 딱이예요.까끌까끌해서 몸에 안들러붙어요 ㅎㅎ날이 더워져서 시원한거 찾다가 구매했는데...정말 얇고 시원하게 덥기 좋네요.세트로 베개커버도 사고 싶었는데 품절이라 못샀어요ㅠㅠ.딜 떠서 얼른 구매했습니다.가격도 저렴하고 맘에 듭니다~ㅎㅎ,0,136,1,0,0
4,mchi******,쁘리엘르,침구,2021.07.02,5,몸에 ？d 감기는 느낌에 포근하고 좋아요. 발바닥이 까실거려서 이불에 드드득소리가 날 때가 있는데 이 이불은 그런 느낌도 소리도 없이 편안하게 감싸주네요. 가격이 생각보단 싸지않은듯해서 하나만 구매했는데 더 구매하고 싶은 마음이 있어요. 다만 색상이 더 다양했으면 좋겠다는 게 개인적인 바람입니다.,0,166,0,0,0
5,sory**,쁘리엘르,침구,2021.07.05,5,크기는 100×140 나일론과 폴리에스터50%씩 입니다. 크기는 몸을 덮을 만큼의 크기는 아닙니다. 만졌을때 부드럽고 가벼우며 휴대하기도 괜찮아 보입니다. 민트색 밝은 하늘색 느낌으로 색상도 맘에들어요. 피부 닿는 감촉은 확실히 시원한 느낌을주고 들러붙지않고 좋네요.,0,149,2,0,0
6,ditl**,쁘리엘르,침구,2021.07.14,5,패드가 필요해서 구입했어요 필요한 침대사이즈가 Ss사이즈이나 가격도 얼마 차이 나지 않고 고정 고무밴드가 없어서 고정시킬겸 베란다 카펫트로 사용할겸 퀸사이즈로 구입했어요 ~ 그러나 후기처럼 생각보다 두껍진 않고 홑겹이불과 일반 패드 중간의 두께라 카펫으로 사용하진 못하겠내요 ㅠㅠ 하지만 가격대비 좋은거 같아 만족합니다~ 그냥 패드로 사용하기엔 굿!! 화이트라 때는 잘 타겠지만 깔끔하고 환해서 좋습니다,0,225,2,0,0
7,pink*******,쁘리엘르,침구,2021.07.11,5,까쓸까슬 에어컨틀고 누우니 대나무자리가 따로없네요 너무 시원하고 여름촉감 딱이예요 ㅎ,0,47,0,0,0
8,kk31****,쁘리엘르,침구,2021.07.03,5,양면 사용 가능 할것 같아 선택 했고요. 블루색쪽이 좀더 부드럽게 느껴지네요. 물결 디자인 맘에들어요. 생각보다 가볍고 좋네요. 아쉬운 부분이라면 물결디자인 때문인지 길이감이 조금 모자란 부분 있긴 합니다.,0,115,0,0,0
9,rany***,쁘리엘르,침구,2021.06.25,5,그림 이쁘구요 프린팅도 잘 되어있네요~ 시어서커가 얼굴에 자국은 남기지만 그래도 여름에는 이런 이불 있어야 여러모로 좋은거 같아요~ 형제들 쓰려고 2세트 주문했어요~~^-^ 마감도 좋고 색상도 좋아요!,0,112,7,0,0
10,kaka****,쁘리엘르,침구,2021.07.07,5,품절로 인해 배송은 조금 늦었지만 시원한 재질이라 여름철에 좋네요. 재질도 생각보다 고급스러워요.,0,54,0,0,0
11,limw*****,쁘리엘르,침구,2021.06.16,5,배송도 빠르게 오고 박스안에 포장 잘되어서 도착했습니다. 조금 두툼해서 한여름은 더울꺼같고 초여름까지나 간절기까지만 좋은것같아요! 재질도 부들부들하고 쿠폰까지써서 싸게 잘 구입했어요.,0,102,0,0,0
12,얼음마녀,쁘리엘르,침구,2021.06.30,5,배송 빠르고 이불 깔깔해서 들러붙지 않고 시원해서 좋아요 작은 사이즈로 할걸 퀸사이즈 많이 크네요 이불을 덧대서 마감한곳이 있어 이어붙인 한장이네요 요부분이 걸리긴 하지만 저렴한 가격에 여름한철 덮고자는 이불이니 잘 쓰겠습니다 더워지는 여름밤 꿀잠 잘게요,0,142,0,0,0
13,ange******,쁘리엘르,침구,2021.07.07,5,이번 여름이 덥다고 하여서 고민하다 구매했습니다. 색깔이 조금 어둡긴하지만 때가 덜 탈껏 같아서 골랐어요. 물건을 받아보니 많이 거칠거리지 않고 적당하고 시원할껏 같아요.,0,95,0,0,0
