,category,manufacturer,product,name,date,rating,text,newline_count,review_len,special_char_count,manufacturer_count,product_count
0,가전디지털,애플,에어팟 프로,계란파송송,2020.12.25,1,"아이폰에서 안드로이드 변경 후 반응  : 이런 것도 돼? 
안드로이에서 아이폰으로 변경 후 반응  : 이런 것도 안 돼? 


* 제조일 : 2020.06

* 구입가격: 251,300원 (몇 일 후 가격 조금 내림/사진 참조)


제조일이 2020.10월 이전의 제품이면 불량 확인 꼭 해 보시길...
인터넷에 불량 확인법 검색 후 여러가지 시험 해 보았는데, 다행히 제꺼는 정상인 것 같습니다.   


예전에는 애플 제품을 받으면 아무런 의심 없이 제품 확인 조차하지 않았습니다. 
애플이니까 당연히 양품이겠지? 하고 믿음으로 사용을 했죠.
  
그러나 요즘은 애플 제품 받으면 불량 체크부터 제일 먼저 합니다.    

최근 몇 년간 애플 제품들 불량률이 너무 높습니다.
애플 as가면 불량/교환건으로 많은 분들이 줄 서고 있죠?
시간이 지날수록 애플에 대한 불신이 점점 커지고 있습니다.

업데이트를 통해 제품의 성능저하 시키고 구매 유도하는 애플은 참..치졸하기까지 합니다. 


애플빠를 좋은 말로 충성고객이라 표현하죠? 다른 말로 호갱님이라는 표현도 쓸 수 있네요. 

제품에 대한 불량률이 높아도 as가 최악이어도 제품가격이 터무니 없게 높아도 상관 안하고 
애플 제품 무조건 구입하는 사람들~
  
기본 구성품에 충전기 없애면서 환경을 위한다는 헛소리하는 회사이니, 
애플 제품들 검수비용 아낄려고 소비자에게 검수 단계를 넘기는건가? 라는 합리적 의심도 많이 드네요? 


애플 = 혁신? 감성?  ㅋㅋㅋㅋㅋㅋ 

에어팟프로 좋습니다. 단, 뽑기를 잘하시면요.



<<애플 장점>>

1. 간지
2. 폰 디자인 예뻐서
3. 사진이 잘 나와서
4. 감성
5. 보안
6. ui 깔끔하다

근데...내 주위 사람들 그 누구도 애플 AS 좋다고 말하지 않는다.
애플 폰, 깨진 액정으로 그냥 쓰는 사람들 왜 이렇게 많은지? ㅋㅋㅋ


영어 할 줄 아세요?
고객님! 녹음은 저희만 할 수 있어요~",54,955,29,14,0
1,가전디지털,애플,에어팟 프로,김*희,2021.03.30,1,"//////2021/3/9 주문///////

2020년 11월 제품이 왔음. 나에겐 비싼 돈이라 열심히 돈을 모으고 기대하며 들뜬 마음에 산 에어팟이기 때문에 도착하자 마자 신나하며 박스를 뜯음. 나는 불량이 아닐거라 생각하며..
포장 박스를 뜯으니 비닐 에어팩 뿐 이었음
에어팟 2 썻을땐 뽁뽁이가 기본이었는데 ..; 
그래도 외상 하자는 없었기에 착용함.
노캔은 확실히 되고 불량 자가진단도 해봤으나 이상이 없어 그냥 쓰게되었음.

✅ 전화를 하는데 웅웅 거리는 소리 / 화장실, 물 속에서 말하는 소리가 들린다고 함. 친구랑 전화를 하는데 내가 무슨 말을 하는지 상대방 쪽에서 하나도 알아듣지 못함.
에어팟2를 썻을때는 전혀 이런적이 없었음. 
더군다나 에어팟 단자도 비틀어져 있었음.



////////2021/3/11 1️⃣차교환////////
2020년 10월 제품이 왔음. 저번 제품보다 한달이나 더 된 제품이 도착해 기분은 별로였으나 이상없어 쓰게 되었음. 단자비틀림도 저번제품보다 나았고 기분 좋은 마음으로 다시 쓰게 됨.
✅ 여전히 에어쿠션 비닐 하나뿐으로 포장 되어있었음. 심지어 이번엔 하나 터져서 옴
노캔이 끊기고 노래가 뚝뚝 끊기는 현상이 발생함
노래를 많이 듣는 사람으로써 매우 거슬렸음
그러다 전화 시 소리가 상대방 쪽에서 웅웅 거리며 안들린다는 사실을 알고 바로 다시 교환을 신청함
노캔도 잘 안됨


/////////2021/3/25 2️⃣차교환////////
슬슬 진절머리 나기 시작했지만 인내심을 가졌음
노캔기능으로 집중력을 얻으려고 샀건만 오히려 분조장 걸려서 아무것도 집중 안됨. 또 11월 제품이 왔음. 이제 경건한 마음으로 뜯을 생각조차 없음 제발 불량이 아니길 바라는 마음임
✅ 또 지지직 소리와 같이 에어팟 끼고 전화를 못함
이게 말인가? 전화를 많이하는 사람이라 에어팟이 필요할 것 같아 산건데 에어팟이 있어도 전화 통화를 못한다니 ㅋㅋㅋ
참다 참다 결국 또 교환.


///////2021/3/29 3️⃣차교환///////
ㅋㅋㅋㅋ 결국 에어팟에 25를 투자한지는 한달이 되었는데 제대로 써 보지도 못한것 같음 시간만 버리고 스트레스만 받고 ^_^! 
마지막교환이다 생각하고 마지막으로 교환을 함
이번엔 2021 1월 제품이 옴.
✅ 에어쿠션 비닐이 또 터져서 왔다 ㅋㅋ 얼마나 나의 에어팟이 호되게 던져지고 뭉개졌을지 ;; ㅎㅎ 소비자 입장을 고려 하나 안하는 듯 하다 ㅎ 빡침 ㅎㅎ 외관상 문제가 없으면 모르는데 
에어팟 박스가 다 찌그러졋더라 ㅎㅎ 이것도 다 돈인데 ㅋㅋㅋ..

////////2021/3/30 4️⃣차교환////////
✅✅✅✅✅✅✅✅✅✅
2021.2월 제품이 옴
제발 포장좀 똑바로 하고 보내달라고 하고 마지막 교환을 했다
근데 ㅎㅋ 끝까지 뽁뽁이 따위는 나에게 안써주더라 ㅎㅎ
쿠팡 박스는 그냥 누가 엉덩이로 뭉갠것 마냥 찌그러져 있고 에어맥스 비닐은 또 터져서 옴 ㅎ 더군다나 또 에어팟 박스가 찌그러져 있어서 화가 끝까지 치밀어 올랐지만 크게 찌그러진 것이 아니었기 때문에 참고 에어팟을 뜯음.
혹시 에어팟 포장한 분 이름이 """"먼지"""" 인가요??
먼지가 왜 이리 많은지 ^^
전원 버튼 쪽에는 안지워지는 기스가 보일락 말락 보였다
새제품이 맞긴 한가 라는 생각이 든다 ㅎㅎ
집에서 말 하는 통화음질은 좋다기에 
며칠 써보고 불량이 있으면그냥 환불할 예정이다

+ 배터리가 한쪽만 빨리 닳음
통화할때 상대방 울림 + 지지직 
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ하하
25만원짜리 뽑기~~ 갑부들의 게임인가보다 !


21/4/6 
계속 끊김 현상 있고 전화할때도 끊기고 배터리는 또 왜 이리 빨리 닳는지
처음부터 포장 뜯을때도 새상품 아닌지 먼지 잔뜩이고 전원 버튼쪽에는 자국 잇고 이상 없으면 그냥 쓰려 했는데 도저히 안되겠네요 ^__^ 
삶의 질 향상은 무슨 ! 하하 삶의질이 떨어져요!",60,1880,114,0,0
2,가전디지털,애플,에어팟 프로,김*환,2020.04.28,1,"[쿠팡은 이제품을 어디서 어떻게 때오는지 밝혀서 리퍼제품이 아님을 소비자들에게 확인시켜야한다]

공홈 33만원 쿠팡 26만원 과연 7만원의 차이가 뭘까... 혹시 짝퉁이나 리퍼가 아닐까 고민하다
그냥 코스트코에서도 20만원대 정도로 파니깐 정품이겠거니 하고 사버렸다.

포장은 잘되어있었다 에어팩에 싸여있었고 마요네즈나 비타500아닌 에어팟 프로가 들어있었다

에어팟 상자외관은 몇가지 흠집말고는 멀쩡했는데 
안쪽 뚜껑에 누군가의 손길이 닿은 흔적이 있었다. 뭔가 손톱으로 긁은듯한 흠집이었다. 
중국 공장에서 뚜껑을 덮을때 생긴거겠지 하고 넘어갔다. 

사용설명서도 종이가 얇은지 손땀이나 물이 묻은것처럼 우글거렸다. 
혹시나해서 다른 애플제품 상자에 들어있는 설명서들을 꺼내보았다. 
아이폰도 에어팟1도 아이패드도 맥도 ... 그 어느것도 이렇게 우글거리지는 않더라. 
중국 공장에서 손땀많은 사람이 조립해서 그런거겠지 하고 넘어갔다. 

사용설명서를 옆으로 치워두니 에어팟 본체가 나왔다. 
에어팟과 그것을 감싼 비닐 사이에 먼지인지 머리카락인지가 있었다. 
한눈에 보일 정도로 꽤 큰 먼지였다... 그런데 이런 먼지가 한개가 아니다!
조립할때 들어간 먼지가 아니라면 설명이 불가능할정도로 큰 먼지였다. 
중국 공장에 먼지가 많은가보다 하고 넘어갔다.

비닐을 벗기고 속살을 확인했다.
여자들 매니큐어 리무버 냄세가 확난다.
어우... 오른쪽유닛에 파란색 먼지같은게 묻어있다. 
자세히보니 나사 조일때 쓰는 록타이트같은거였다. 
아이팟때부터 10년정도 애플 제품을 써봤지만 이런것이 묻어있는건 처음이었다. 
왼쪽은 더 가관이다. 퇴근할 때 썻던 내 에어팟1마냥 온갖털같은게 묻어있었다. 
남자 수염깍을때 세면대에 떨어진 수염같은게 5~6개정도 잇엇다. 
중국 공장에서 직접 착용하여 테스트해봤나 하고 넘어갔다.

그 외의 구성품은 큰 하자가 없었다. 
중국 공장에서 신경을 써줬나 보다.

---------------------------------------

착용감은 그냥 인이어 이어폰의 그것과 비슷하고 음질은 에어팟1과 유사하다. 

wh-1000xm3의 anc와 비교하자면

노이즈캔슬링 성능은 대동소이하고, 화이트 노이즈는 1000xm3보다 반이상 작다. 

---------------------------------------

기능은 정상적으로 작동하니 그냥 사용하겟습니다

하지만 이것이 완전한 새 제품이 맞는지는 솔직히 확신이 가지 않습니다.

쿠팡에서 리퍼품이 아니라는 증거를 가져오면 좋을듯 합니다.

---------------------------------------
[후기 추가] 
4/28화요일 : 상품을 수령 이때 삼십분정도 집안에서 테스트했는데 잘되었고, 테스트후에 이 후기를 작성함
4/29수요일 : 출근길 버스에서 사용했는데 다른 이어폰이랑은 달리 유난히 펑펑터지는 소리가남. 제품특성이라 생각하고 참고 씀
4/30목교일 : 긴시간을 대중교통에서 이용함. 중간에 연결이 끊기는 현상이 발생하였음 에어팟1에서는 한번도 경험하지 못했던거라 굉장히 당황하였다... 다시 페어링을하고 사용을 계속하였는데 소총탄 발사하는 소리가 쾅!!!!!!!!!!!!!남 귀 멍멍거림... 이때 전쟁난줄 알았음
2시간정도 사용후 배터리를 확인하니 30%정도 있어서 한번더 당황...  볼륨은 20~30%에 anc가 켜져있던 사용상황을 반영하면 50%이상의 배터리가 남아있었어야 했음 
그럼 이제품의 배터리 타임이 3시간인건가? (공홈기준 볼륨 50%에anc가 켜져있으면 4.5시간 사용가능하다함)
배터리 타임때문에 이제품이 리퍼품인걸 확신하게됨
5/1금요일(오늘) : 교환신청
——————————————————-
[1차 교환 후기] 5/2 토요일
교환신청 다음날에 바로 새 에어팟 프로를 가져오셨다
교환받은 애어팟 외관은 문제없고 내부 포장도 문제없었다.
먼지는 여전히 있지만 딱히 신경쓰지 않으려한다. 
하지만 이번엔 조립 단차가 눈길을 끈다. 
오늘 내일 쭉 쓰면서 기능 테스트를 해보고 별 문제가 없으면 그냥 써야겠다
-------------------------------------
[1차 교환 후기 추가] 5/4 월요일
왼쪽모듈에 삐비비지지직거리는소리 계속나서 사용하다 화닥지나 교환신청합니다
그리고 주기적으로 끊겼다가 재연결되는거 에어팟1에는 없었던 현상이었는데 유독 프로제품이 심한건지?
이번에는 제발 리퍼품 재포장 보내지말고 새제품 보냅시다 
이제 깟는데 먼지들어있거나 기스보이면 바로 교환할겁니다
--------------------------------------
[2차 교환 후기] 5/7 수요일
두번째 교환 세번째 에어팟프로...
이번에는 새거같다. 
먼지없고 작동 잘되고... 앞으로 더 교환할일은 없을거같다
--------------------------------------
여러분 상자깠는데 누군가가 쓴것처럼 먼지 많으면 바로 교환하세요. 
애플제품 아니, 세상 어느제품이 새 상자안에 먼지가 들어있겠습니까?",79,2441,280,3,2
3,가전디지털,애플,에어팟 프로,박인환,2021.06.26,1,"(리뷰 시작 전 가장 중요한 한가지, 반드시 로켓와우로 주문하세요!!)


에어팟 프로 자체는 매우 만족스러워요. 
처음 겪어보는 노이즈캔슬링 기능은 완전 신세계입니다. 노캔 상태에서 아이유의 밤편지를 들으면 정말 조용한 곳에 아이유와 단 둘이 있는 상태로 노래를 듣는 것만 같은 느낌이 들어요. 커널형이라 귀가 아프지 않을까 걱정했는데 착용감도 매우 좋습니다.


칭찬은 여기까지.

만족스러운 상태의 제품을 받기까지가 상당히 힘드네요.

저는 2번의 교환 끝에 결국 환불을 하고 다시 새로 주문해서 받았음에도 불구하고 다시 불량이 왔습니다. 저의 에어팟 프로 뽑기게임은 현재진행중... 그 과정을 설명드리겠습니다.


<6/ 23 첫 구매 후 1차 교환> (1,2번 사진)

6/23 부푼 기대를 가슴에 안고 로켓와우로 에어팟 프로를 구매했습니다. 역시 로켓배송답게 다음날 아침 일어나자마자 배송이 완료되어있던 것을 확인할 수 있었죠. 제품 상태가 복불복이라는 리뷰가 조금 불안했지만 설마 나한테 불량이 오겠어 싶은 마음에 싱글벙글하며 언박싱했습니다.

그리고 설마가 사람잡았죠.

1번 사진을 보시면 알겠지만 일단 받자마자 페어링 버튼 쪽에 기스가 나있는걸 확인했습니다. 뭐 그래도 이 정도면 나도 사용하다가 충분히 날 수 있는거니까 괜찮다고 생각하며 열었더니 2번 사진처럼 곳곳에 먼지와 귀지같은 이물질들이 끼어있었습니다. 뭐 그래도 닦아서 쓰면 되니까 라고, 노홍철도 한 수 접어줄 긍정적인 마인드와 함께 에어팟을 착용해봤습니다. 

아니 그런데 이게 무슨? 왼쪽 유닛에서 모래소리 내지 바람소리같은 잡음이 들리는 겁니다. 내가 비록 쿠팡에서 저렴한 가격에 구매를 했다고 해도 중고 에어팟을 산 것도 아니고 새상품을 산 건데 기스와 먼지, 귀지는 그렇다쳐도 기능상 하자까지 감수할 수는 없다는 생각에 바로 교환을 신청하게 됩니다.



<6/24 1차 교환 제품 수령 후 2차 교환> (사진 X)

교환 신청을 일찍 한 덕분인지 다음날 아침 일어나자마자 교환제품이 문 앞에 배송되어있는 걸 확인할 수 있었습니다. 다른 건 몰라도 배송 속도 하나는 진짜 최고네요. 
심지어 이번에는 내부도 깔끔하고 전체적으로 먼지도 별로 없고 느낌이 너무 좋았습니다. 남들은 5번 6번 교환한다고 그러던데 난 한번만에 패스하는 건가 싶은 기대감이 무럭무럭 자라났지요. 

하지만 어림도 없지. 

귀에 꽂아서 노이스캔슬링을 활성화하는 순간 그 전날 교환을 신청했던 제품에서 들려오던 잡음이 똑같이 들려왔습니다. 같은 모델의 제품에서 두 번 연속, 심지어 그것도 왼쪽 유닛에서만 발생하는 현상에 혹시 내 귀가 잘못된건가 싶어서 가족에게 테스트해봤는데 똑같이 들린다고 하더라고요. 결국 다시 교환 신청을 하게 됩니다. 

그리고 이때 '혹시 교환신청 하면 교환이나 환불된 제품들로만 돌려막기 하는건가?' 싶은 의심이 들어서 교환 신청과 동시에 새로 에어팟 프로를 하나 더 주문하게 됩니다. 



<6/25 2차 교환제품 환불 후 새로 주문한 제품 교환> (3, 4, 5, 6 사진)

우선 2차 교환제품은 포장 상태부터 의심스러웠습니다. 그래도 그 전까진 뽁뽁이로 둘러싸서 줬는데 이젠 그것마저 없더군요. 그래도 제품만 불량이 아니면 된다는 생각에 언박싱 했습니다. 
역시나 더러운 건 마찬가지더군요. 박스에 이상한 이물질이 끼어있었고 내부에도 각종 먼지와 이물질들이 덕지덕지 붙어있었습니다. (3번, 4번 사진)

그래도 뭐 제품만 불량이 아니면 된다 싶었습니다. 다행히 이번 제품 유닛은 잡음이 들려오지 않더군요. 역시나 계속해서 들려오던 모래소리 내지 바람소리같은 잡음은 불량이 맞았습니다.

그런데 이번엔 아니 이게 무슨? 

케이스 위아래가 안 맞는 겁니다(5번, 6번). 사진에서도 볼 수 있듯이 케이스를 닫으면 위아래 부분이 딱 맞지 않고 어긋나 있는 모습입니다. 그냥 쓸까 잠깐 고민했지만 비싼 돈 주고 사는데 굳이 하자를 감싸안고 사용해야 하나 싶어서 환불 신청을 했습니다. 



그리고 새로 주문한 제품이 도착을 했습니다. 이번엔 진짜 느낌이 좋았습니다. 일단 딱히 더럽지도 않았고 충전케이스도 잘 맞물렸으며 유닛에 잡음도 안 들렸으니까요. 

아 드디어 양품을 받았구나 싶은 생각에 내적 환호를 지르며 펌웨어 업데이트를 위해 충전케이블에 연결했습니다.

근데 아니 이번에는 또 무슨?

7번 사진을 보면 아시겠지만 충전단자 내부 왼쪽이 튀어나와서 충전기가 잘 들어가지 않는 겁니다. 힘을 줘서 억지로 쑤셔넣으면 들어가긴 하는데 영 불안하죠. 이미 계속된 교환에 지칠대로 지쳐서 그냥 쓸까 고민했지만 아무리 생각해도 이건 아닌 것 같아서 교환신청했습니다. 이대로 사용하다간 머지않아 고장이 날 것만 같았으니까요.


내일 교환상품이 오는대로 다시 추가해서 리뷰 작성하겠습니다.



(+ 마지막 교환상품은 의외로 양품을 받은 줄 알고 3일동안 기분좋게 사용했습니다. 그런데 오늘 음악 듣고 영상 보는데 버벅거리네요. 블루투스 문제인가 싶어서 핸드폰을 가까이 갖다대보고 일시적 문제인가 싶어서 기다려봐도 계속 버벅거림이 발생합니다. 결국 전 지쳐서 환불하고 다른 곳에서 사려고 합니다. 알아보니까 로켓와우의 혜택을 악용해서 한달 사용하고 반품하는 사람들이 있다고 하더라고요. 물론 아주 극소수겠지만 앞으로 쿠팡에서 전자제품 구매는 되도록이면 지양하려고 합니다. 로켓배송이 좋은 점도 많지만 단점도 극명하네요.)



한 줄 요약 : 최소 1번 이상의 교환을 염두에 두시고 무조건 로켓와우로 구매하세요!!! (+ 되도록 구매하지 않으시는 걸 추천드립니다. 다른 쇼핑몰도 이 가격대의 동일제품 찾아보시면 있어요.)",69,2753,40,0,4
4,가전디지털,애플,에어팟 프로,Emmaaa,2020.10.01,1,"물건 안전하게 잘 받았습니다, 쿠팡 기사님 항상 고생하십니다!

“노이즈 캔슬링”이 단어 때문에 진짜 큰 마음 먹고 구입했어요~
코로나라서 수입이 줄었지만, 삶을 질을 향상 시키고 지친 심신을 위해 조금 무리해서 구입했어요!

후기를 보니 뭐 리퍼 제품 같다니, 새 제품 같지 않다니 여러 좋지 않은 후기들이 있더라고요! 대수롭지 않게 여겼죠! 다른 좋은 후기들이 많았으니까요~~
그런데 웬걸 좋지 않은 후기들, 그게 제 이야기가 될줄은 꿈에도 몰랐어요!

우선 외관을 봤을 때 파손이 없었고, 신나는 마음으로 박스 포장 비닐을 뜯었죠! (애플 제품 유저들은 비닐 포장 뜯을 때의 그 설렘? 기쁨? 둑흔두근? 아실겁니다) 케이스 외관에도 스크래치는 없어서 뚜껑을 여니 무슨 먼지가ㅋㅋㅋ그렇게 많을 수가 없었어요...
약간 불안한 느낌이 들었어요... 본체를 빼니 안에도 먼지가 많더라구요...ㅎㅎ 케이스 뒷편 페어링 버튼은 때가 낀것 마냥 뭐가 껴있었구요... 교환을 할까 말까 고민을 많이 했는데 귀찮은 것도 있고 그냥 먼지 쯤이야... 써보자... 마음먹고 사용을 했어요.
노이즈 캔슬링이 너무 신세계더라구요!!! 또 신이나서 지인들과 전화를 하는데 상대방에게 제 목소리가 끊겨서 들린다는거에요 그래서 엥? 이러고 있는데 상대방 목소리도 끊겨서 들리더라구욯ㅎㅎㅎ 페어링 문젠가 싶어서 다시 페어링을 했죠!! 그러니 조금 괜찮아진 것 같더라구요~
그런데ㅎㅎㅎㅎㅎㅎㅎ문제는ㅎㅎㅎㅎ 이게 연결이 지맘대로 됐다가 안됐다갘ㅋㅋ켘ㅋㅋㅋㅋ객ㅌ컨나자투ㅏ마!:&,&; 마틔ㅣ자나우투ㅏㅏ엍:&29..&/9@- 하 ... 전화한 후 통화가 끝나면 연결도 자동으로 끝나요ㅎㅎㅎ 또, 음악 듣는데 신나는 음악 들으면 얘가 어째 아는지 자동으로 연결이 끊어지더라구요ㅎㅎㅎ히힣

제가 남자친구랑 같은날 쿠팡에서 같은 제품을 구입한거라서 남자친구꺼랑 비교를 해봤어요. 언박싱부터요~~ 근데 제거만 그렇더라구요!!! 항상 남자친구보다 운이 없는 저라서 이번에도 그렇구나 했어요~~ㅎ하랄ㄹㅎㅎ핳ㅎㅎㅎ신난닼ㅋㅋㅋ

결국 교환신청 하는데 진짜 또 하자있거나 리퍼 의심되는 제품이면 진짜 저....!!!!... 삶의 질이 오히려 떨어질 것 같아요!!ㅎ똑바로 교환해주세요^^

후기를 마무리하며, 쿠팡 기사님 항상 감사합니다! 안전 운전 하시고 풍성한 한가위 보내세요!

•••••••••••••••••••••••••••••••••••••••••••••••••••••••••

[2차] 10월 1일 수령 ➡️10월 2일 교환

이번에 살면서 처음으로 택배 반품 시켜봤는데 한 제품으로 두번째 교환하네요^^ 하핳 이번에는 연결이 그냥 끊겨요. 개봉하니 먼지가 좀 있었지만 그래도 설레는 마음으로 설마 이번에는 괜찮겠지~? 라고 생각했던 제가 호구 병ㅅ이네요. 진짜 이게 유난 떠는것 같아서 괜히 쿠팡 기사님께 죄송한데 억울해요.

연결이 되길래 핳 되구나! 이러고 이제 에어팟 프로 이름을 설정하려고 들어가니 혼자 연결이 끊기더라구요! 소름이 돋았지만 침착하게 한번 더 시도를 해봤습니다. 우연이 아니더라구요. 그래서 또 침착하게 페어링을 다시 해봤습니다. 결과는 똥이었어요. 진짜 화가 나는데 그냥 문득 이런 생각이 들었어요. 쿠팡에 애정을 가지게 하려고 그러는건가? 아니면 코로나니까 집밖에 못나가서 심심한 나를 위해서 일거리를 주는건가? 싶었어요.

마지막 교환인데 세번째 제품도 똑같이 하자 있는 제품으로 오면 진짜 하...

•••••••••••••••••••••••••••••••••••••••••••••••••••••••••

[3차] 10월 2일 수령

휴... 그냥 포기하렵니다.
3번째 제품에 제일 먼지가 많았어요~ 먼지가 무슨 대수라고 그냥 써야겠다! 하고 통화를 하니 연결음부터 상대방 목소리까지 아무것도 들리지가 않았아요! 혹시나 싶어 페어링 다시하니 되네요! 핳 일단 일주일 써보고 이상있으면 다시올게요.

•••••••••••••••••••••••••••••••••••••••••••••••••••••••••

사용한지 이틀 됐는데 문제 있으니 사지마세요ㅆ...(연결 걍 수시로 끊김)",38,2001,67,1,1
5,가전디지털,애플,에어팟 프로,김*재,2020.06.18,1,"말로만 듣던 불량 얘기,, 제가 될 줄은 몰랐습니다.
일단 6월 5일 261,730원에 구입 했고 물건은 다음날인 6월 6일에 받았습니다.

처음 왔을 때 포장비닐과 내부에 먼지가 약간씩 있었지만 사용하는데는 불편이 없을 것 같아서 그냥 썼습니다.
또 에어팟 케이스 뚜껑에서 ‘딸깍’하는 소리가 거슬릴 정도로 나는 것도 교환을 할 지 고민하다가 사용에 큰 지장이 없을 것 같아서 그냥 썼어요.

평소에 에어팟을 그렇게 장시간 낄 일이 없어서 많이 껴야 2새간 정도씩 사용하고 충전을 시켰습니다. 같은 시간에 충전을 해도 배터리가 서로 다르게 떨어지는게 약간씩 보였지만 많이 차이가 나지 않았기에 그냥 그려려니 했습니다. 그런데 구입하고 사용한지 13일만인 오늘 나가서 사용하니 오른쪽 부분이 아예 음악소리가 나지않고 지지ㅣ지ㅣ직하는 소리만 
났습니다. 배터리가 방전된 것은 아니지만 왼쪽 에어팟과 40퍼 센트가 넘게 차이가 나더군요. 그렇다고 배터리가 아예 없는 것도 아닌데 뭐가 문제인지 노이즈캔슬링, 주변음허용모드도 죄다 먹통이 되더군요,,,

평소에 거의 집에서만 쓰고 충격을 준 일도 전혀 없이 정말 곱게 썼는데 2주일도 안되서 고가의 제품이 이유도 없이 망가졌다는게 참 어이가 없습니다. 어떻게 해야할 지도 잘 모르겠고 공식센터에 한 번 가봐야겠어요,, 쿠팡에서 구매할 생각이신 분들은 정말 잘 생각해 보시길 바랍니다. 저도 설마 하는 마음에 샀는데 역시 이렇게 고장나서 일만 늘어났습니다,,,

2020.02.06

약 8개월 정도 써봤는데 초반반큼 큰 에러는 없어요 배터리 문제도 좀만 더 써보자는 생각으로 쓰다가 시간이 지나 안 갔는데 초반만큼 못 쓸 정도의 문제는 없었습니다. (쓸수록 차츰 안정되더니 지금은 양쪽이 비슷하게 떨어집니다.) 그러나 가끔 귀에 껴도 인식이 잘 안되거나 노캔 기능이 안 켜지는 등의 자잘한 문제는 꾸준히 있어요. 결론은 큰 문제 없이 잘 쓰고 있으나 만약 다시 산다면 처음에 마음 졸이고 불안했던 것  생각하며 그냥 몇 만원 더 주고 공식홈페이지나 오프라인으로 살 것 같아요.",13,1019,3,0,0
6,가전디지털,애플,에어팟 프로,BUYERS,2020.07.15,1,"와우 뜯자마자 오른쪽 에어팟에 오류ㄷㄷ 근데 케이플 충전기 호환 되는거 없어서 사려고 했는데 가격이 55000원인게 더 ㄷㄷ
이 글 다 읽으셨다면 도움이 돼요 한번 눌러주세요~!",1,99,2,0,0
7,가전디지털,애플,에어팟 프로,이*진,2020.07.06,1,왓는데 열리고 닫치는 부분이 잘안맞춰져있고 비틀려 있어서 불편해요 불량품이 온거같아요....사용자로써 불편합니다...,0,65,0,0,0
8,가전디지털,애플,에어팟 프로,신*경,2021.03.19,1,제가 불량품이 걸릴 거라곤 생각 못했네요 아직 제대로 사용하고 있진 않지만 처음에 열었을 때 왼쪽 에어팟에 본드가 붙어 있었고 먼지도 많았으며 본드 냄새?가 머리 아플 정도로 심하게 났었어요 처음 배터리는 왼쪽 62% 오른쪽 35% 였고 충전을 잠시 했는데 왼쪽 67% 오른쪽 83%가 됐습니다 또 왼쪽 에어팟 머리가 뭐라고 해야 하지 안 맞아요 튀어나와 있네요 교환 신청을 해야 할 것 같아요,0,220,5,0,0
9,가전디지털,애플,에어팟 프로,박*연,2019.12.06,1,"갤럭시노트10플러스와 함께 사용합니다.
노캔기능은 정말 신기하네요.
그런데 음악을 틀면 소리가 너무 작게 들리는데 왜그런지 모르겠어요.
처음엔 안그랬는데 너무 작아졌어요.
몇일 사용했는데 불량입니다...들렸다 안들렸다 치치직.

~~~~~~~~~~~~~~~~
초기불량후 이틀 사용하다 너무 심해서 바로 교환.
두번째 받은 교환제품은 11월제조 상품이고 현재까지는 좋아서
후기 다시 남깁니다.
로켓배송 쿠팡맨 감사합니다.
새벽배송 짱.
~~~~~~~~~~~~~~~~~~
12.14
지하철에서 사용시 자주 끊기고 한쪽은 페어링이 안됩니다.
또 불량인건지 원래 그런건지 모르겠네요.
노캔 기능만 특별하고 전화 감도도 상대방은 좀 울린다고 합니다.

~~~~~~~~~~~~~~~~~
2020.1.7 
현재까지 잘 사용했으나 갑자기 배터리 한쪽이 불량이네요.
다시 교환하려고 했으나 1달 지나서 인터넷 상으로는 교환이 안된다고 합니다.
어제 애플케어플러스 가입했는데....왜 갑자기 불량인지 ㅠㅠ

~~~~~~~~~~~~~~~~~~~~
2021.4.6
갤럭시와 호환이 문제인 것 같아요.
전 아이폰도 있어서 함께 사용하다가 결국 갤럭시노트10+와는 블루투스 연결을 끊어버렸습니다. 가로수길 가서 유닛을 바꿨는데도 여전히 불량입니다. 갤럭시와 사용하면 한쪽 페어링 되거나 배터리 불량충전됩니다.
아이폰은 연결 잘 되구요. 
삼성에서도 에어팟처럼 좋은 무선 이어폰 나오면 좋겠어요. 
버즈는 아직 사용전이구요.",30,726,72,1,0
