,category,manufacturer,product,name,date,rating,text,newline_count,review_len,special_char_count,manufacturer_count,product_count
2558,반려동물용품,굿데이,건강한육포 반려견간식,한미소,2021.05.27,5,"5살 폼피츠 봄이՞•ﻌ•՞
4살 허스키 샤샤՞•ﻌ•՞
7개월 진도스키 하니՞•ﻌ•՞ 
세마리와 동거하고 있어요◡̈

•인공착색제,설탕,부산물,인공보존제 무첨가•

너무 비싼 가격은 부담되고 그렇다고 마트 중국산 간식은 주기싫고 항상 지갑과 사투중이에오ㅋㅋ

원래는 맛있는거 건강하게 많이 먹이고 싶어서 제가 직접 간식을 만들어주곤 했었는데 일하면서 만들어주기 쉽지 않더라구여ㅠ
결국 또팡..ᐛ 

애들이 중형견이고 한마리가 아니다보니까 대용량 간식만 사게 되는데 도그푸드 건강한 시리즈 종류별로 사다주고 있는데 괜찮은거같아요

성분도 괜찮고 모양이나 향도 특이하지않고 무엇보다 애들도 맛있게 먹고 변 상태도 좋구요!

100g씩 3봉지로 소분 포장이 되어있어요
변질 걱정 없이 한봉지씩 뜯어 급여하면 되는게 좋았어요!
물론 3봉지도 금방 다 먹었지마ㄴ....

진짜 진짜 환장하면서 먹어요
봄이는 기다려를 참 잘하는 아인데 건강한 오리 앞에서는 힘들어 하네요ㅋㅋㅋㅋㅋㅋㅋㅋ

봄이는 먹는데 5초 정도 걸린거 같고 하니랑 샤샤는 모...
그냥 순삭이네요ㅋㅋㅋ

딱딱하지 않고 작당히 말랑 단단한 막대형태로 되어있는데 이거 통째로 하나 주면 얼마 씹지도 않고 삼켜 버리더라구요ㅜ 
손으로 잡아주면서 주거나 작게 잘라서 주고있어요",27,629,2,0,0
2559,반려동물용품,굿데이,건강한육포 반려견간식,웅득이,2021.03.19,5,태어난지4년된 애들이 어찌나 식성이남달리 좋은지 사료는 입에도대지않고 하루죙일 간식서랍앞에서4마리가 진을치고않아 빨리 간식내놓으라고 농성을하는지. 까딱하다간 천막쳐줘야겠어요 간식은 골고루 사서 이것저것 다먹여봤는데 확실히 이제품을 더좋아하는것같아요 다른것주면 먹는척 입에물고 서너발자국 가서는 퉤~뱉고는 아니라고 다시달라고되돌아오거든요 혹시나 눈물많고 피부가 빨갛게부어오르는 애들있으면이제품먹이지 마시고*뜨 제품먹여보세요 가수분해된거라 아무리먹여도괜찮아요 우리애들중 하나가 계속이런증상이있어 간식을*뜨로바꾸니 대번에괜찮아지더라구요 다른녀석들은 이제품으로 주구장창가야지 스톱은없을것같아요안주면 삐져서 가출도할려고하고 간식서랍앞에서 밤새 잠자는녀석도있고 줄때까지 옹알옹알거리는 녀석도있고 진짜내가주고말지 하고준것이 이제는 요것들이 거의신기에 가깝게제마음을 꿰둟는다니까요 네마리다합한몸무게가 10키로밖에되질않는데 한달에 고구마10키로한박스드시는 애들인데 여기간식까지 골고루드시게할려니 진짜 제 등골이다빠져요ㅋㅋ ㅋ쿠팡매님들께 너무너무미안해요 저희집이2층이라계단오르실때많이 힘들실텐데 그치만 집안에서는 쿠팡맨님들 발자국소리 너무좋아해 넷이서대환장파티중이에요 아이고~우짜다 내가이래됐는지;;,0,605,4,0,0
2560,반려동물용품,굿데이,건강한육포 반려견간식,라이언프렌,2021.04.17,5,"2번째 구매합니다

처음 구매한 게 2020년이었어요
2021년에 또 구매했는데 예전에는 좀 두툼했지만 최근 것은 납작하니 얇아졌네요
중량은 같으니 납작해진 대신 갯수는 많아져서 여러번 줄 수 있어 좋았어요


최애간식은 아니고 2번째로 좋아하는 간식입니다
최애간식은 가격이 좀 나가서 매번 줄 수 없었어요
그래서 대안을 찾다가 가격도 괜찮고 갯수도 많은 굿데이 소고기육포를 발견합니다

우선 크게 3팩으로 소분되어 있고 안에 간식이 제법 들어 있어요
마당에서 몸집 큰 개를 2마리 키우고 있기에 양에서 매우 마음에 들었어요
간식을 자주 주는 편은 아니라 가아끔 주는데 뭔가 여러번 줄 수 있어 주는 맛이 나네요

개들도 애견전용간식을 가끔 먹다보니 줄 때마다 엄청 좋아합니다


그래도 최애간식 줄 때는 막 오줌 싸고, 얼굴로 부비적 거리면서 좋아하는데 2번째로 좋아하는 요 굿데이 소고기육포는 그정도는 아니네요

우리집 개들은 사료와 사람이 남긴 음식을 섞어서 먹어요
그런 개들도 요런 애견전용간식을 좋아라 하네요

다 먹으면 아마 다시 또 구매할 듯 합니다",23,538,0,2,0
2561,반려동물용품,굿데이,건강한육포 반려견간식,김*화,2021.07.06,5,"굿데이 건조 닭가슴살 육포를 아주 좋아하는 
울강아지 ㅜㅜ
허리가 휘네요~ 
3봉지가 들어있는거 시켜도 금방금방 
떨어지네요~~ 
좀 딱딱해서 걱정되긴해요~ 
한번은 허겁지겁 먹고.. 토를했는데
씹지도 않았는지..딱딱한 육포가 고대로 
나왔더라구요 ㅜㅜ 
안먹일까 라고도 생각해봤는데~ 
자꾸찿네요 ㅜㅜ  흐미...
좀더 말랑했으면 하는 바램이네요~ ^^;
아니 말랑까진  아니더라도 ㅋ 
좀 덜 딱딱했으면 좋겠어욤~~~",13,235,11,1,0
2562,반려동물용품,굿데이,건강한육포 반려견간식,김*화,2021.05.24,5,"치킨 간식을 아주 좋아하는 울 아이~~ㅎ
간식비만 어마어마 ~ 해요~ 
그렇다고..간식 아무거나  다 잘먹지도 않아요 ㅜㅜ
버린것만 수두룩...
좋아하는것만 잘먹는다능ㅜㅜ
그래서 아무거나 쉽사리 사질 못해욤~ ~ ~ 
사람 먹는것보다 더 고민하며 간식고르네요..우째~
요 치킨간식은 집에있는 간식중 1순위로 젤
작먹어욤~ 너 무나... 도 잘먹어서 고민요ㅋ
최근에 알게되어 줘봤는데
너무잘먹길래~ 쿠팡이 좀 저렴하고 빠른배송ㅋ 알죵? 주문해서 먹이는데
두봉지 주문한것도...얼마못가융 ㅜㅜ
사료는 코딱지만큼만 먹어서...큰일이예욤~ 
너무잘먹어 어쩔땐 내가 먹어보고 싶을정도 ㅋ
물가상승으로  다 비싸졌지만 ㅋ
가끔 이벤트성으로 저렴하게 팔았으면..하는 
제 개인적인 소망을 적어봅니다~
그땐....많이~쟁여두고 싶어요 ㅋ",17,404,14,0,0
2563,반려동물용품,굿데이,건강한육포 반려견간식,accc,2020.06.22,5,"• 상 품 명 : 굿데이 건강한육포 반려견간식 대용량 300g, 
                 닭가슴살 소프트스틱, 1개
• 가     격 : 9,500₩ 
• 배     송 : 로켓와우⚡(다음날 도착)

✓제 조 일 : 2020.05.06
✓유통기한 : 2021.11.05

맨날 쿠팡에서 이것저것 시키면서
우리 댕댕이 간식은 떨어진지 좀 됐는데 시켜주지도 않구.... 
갑자기 댕댕이의 슬픈 눈을 보고 간식을 찾아봤죠!

얘는 딱딱한거 싫어하고 
말랑말랑한 걸 좋아하기도 하고
워낙 간식 좋아하는 아이라
간식만 보면 꿀떡 삼켜버려서 ...
소화 잘 되라구 소프트 스틱으로 선택했구요 
닭이랑 오리 둘다 좋아하는데..
일단 닭만 먼저 시켜봤어요~~
(한꺼번에 많이 사놓으면 아빠가 왕창 줘버림 ㅡㅡ+)

배송은 쿠팡 비닐에 쌓여서 왔구
내용물은 큰 봉지 안에 
100g씩 3개로 나눠서 포장되어있어요
사진찍고 주려고 사진찍는데..
빨리달라구 난리

후기 많이 보고 사는 스타일인데
좋은 후기도 엄청 많지만.. 
몇몇 안좋은 후기들도 있어서 걱정했는데, 
간식상태 괜찮고, 댕댕이고 잘먹어요!!
배변 상태도 특이점 없어요~~
이런 상품평 많고 많이 팔리는 간식은 
어쩔수 없이 안좋은 후기들도 생길 수 밖에 없나봐요ㅠ

저는 예상하고 사긴 했지만
많이 얇고(두께가 젓가락만함) 
말랑말랑해서 한입거리예요!
딱딱한거 싫어하는 애기들한테 좋을것같아요~~
아직 어린 댕댕이들, 
치아 안좋은 노견 아이들에게도 좋을 것 같고 
보상용으로 간단하게 한개씩 급여하기에도
좋은 간식입니다~!

다먹으면 나중에 오리도 추가구매 하러 올께용!!!",44,801,27,1,1
2564,반려동물용품,굿데이,건강한육포 반려견간식,쿠팡실구매자,2020.05.10,5,"제품은 하자 없이 받았습니다. 

제품 포장 

포장은 큰 포장 안에 한개의 포장으로 이루어저 있습니다. 
양이 많다보니 소형견들은 최소 한단안에 먹기가 힘들어요. 특히 다른 간식들을 애용 하면요. 
그런 면에서 3개로 낱개 포장이 되어있서 상당히 만족 했습니다.
2020년 5월 9일 구입 해서 2020년 5월10일 제품을 받았는데 유통기간이 2021년 5월 4일 인점이 마음에 들었습니다

TMI—
다만 개별 포장을 뜯으면 아무래도 다시 밀봉 할수 없기에 저희는 따로 지퍼백에 넣어서 냉장 보관 합니다.
외부 포장을 한번 뜯고버릴수 있는 포장으로 하고 개별 포장을 지퍼백 형식으로 바꾸면 훨신 좋은 제품이 되리라 확신 합니다.
——————————————————
맛 및 제품 리뷰

강아지가 예전 부터 이 회사에서 만든 간식들을 잘 먹었습니다.
저희 강아지는 질긴 간식을 혼자 발고 잡고 먹는것을 좋아해서 구입했습니다.
소형견이라서 초반에는 잘라서 줬는데 나중에는 혼자서 잘라주지 않아도 잘 먹어요.
기대에 지지 않고 저희 강아지가 많이 좋아합니다.
요즘 외출을 많이 못해 답답해 할때 주면
조금이나마 스트레스을 풀었으면 하네요.

제품 품질이 좋고 강아지가 만족 해서 좋았습니다.
강아지가 질긴 간식을 좋아하고 혼자서 잘 먹을수 있으면 추천 드려요.
아무래도 간식이 커서 소형견들중 큰 간식을 혼자 먹지 못하는 애견 경우 매번 잘라줘야 되는데 번거럽습니다.
그런 경우 작은 부류의 간식을 추천드려요.

————————————————-

5월 20일 업데이트

실수로 지퍼백에 담지 않고 개봉 상태로 외부에 놔두었는데 간식이 딱딱해 졌어요.

참고하시고 간식은 꼭 지퍼백에 넣어 두세요.",33,833,1,0,0
2565,반려동물용품,굿데이,건강한육포 반려견간식,Amore1,2021.06.15,5,"애견간식 중 부드럽고 쫄깃쫄깃해서
노령견이나 어린강아지들이 먹기 좋겠어요
닭고기를 재료로 만들었다 하니
기호성도 높아서 멍멍이들이 아주 좋아합니다

한가지 흠이 있다면
우리집 대형견들은 한 입에 꼴깍 먹어버려서
한 봉 뜯으면 한 녀석이 다 먹어버립니다

애견간식으로는 꽤 높은 점수를 줄만한
제품입니다",10,168,0,0,0
2566,반려동물용품,굿데이,건강한육포 반려견간식,로켓을타고,2019.04.16,5,"우리집 반려아이가 넘 사료를 안먹어서
사료에 섞어먹이려고 구매했어요
원재료가 중국산이지만
가격대가 있어서인지
제법 제품의 퀄리티가 있는편입니다
보통 이 정도의 가격이면 3~4 봉지의 간식보따리가
오잖아요?!
그런데 이 육포 봉지 하나왔는데
나름 안의 내용물 깔끔하게 건조 잘 되어있고
3봉지로 소분되어있습니다
한가닥씩 꺼내어 먹이기 좋게 되어있는데
딱딱하게 완전 건조된거라 어린강쥐나 노령견은
약간 불려서 주는게 좋을수도 있어요
육포라곤 하지만 제가 조금 먹어봤을때
사람이 먹는 육포맛과는 넘 달라 아주 깜짝 놀랐어요
ㅇ
 냄새가 아주
자극적인 향과 맛이 나진 않습니다
그래서인지 우리집 반려아이는 사료에 섞어주면
시큰둥하구요
육포만줬을땐 잘먹습니다 ㅎ
그정도로 육포만으로의 풍미는 강하지 않아요 ㅎ

우리들 소중한 반려아이들이 먹는다고 생각하면
가장 좋은걸 먹이고 싶은 엄마맘
 누구나같을거라고 생각해요
상품평에 호불호가 있어서 걱정도 좀 있었는데
이가격에 이 정도면 잘 만든 간식입니다
아니면 만들어 먹이는게 정답이죠 ㅎ
저의 후기가 도움이 되셨기를 바랍니다~!",29,540,5,0,0
2567,반려동물용품,굿데이,건강한육포 반려견간식,심콩수리,2021.03.28,5,"우리 강아지가 나이 드니 치아가 많이 약해지네요 

사료도 잘 안 먹고 간식만 좋아하는 강아지에게 아무래도 딱딱한 간식은 치아건강에 해로운거 같아요
딱딱한 간식을 줘도 잘 먹긴 하지만 보기에도 힘겨워 보여 부드러운 간식을 찾게 되네요

강아지가 젤 좋아하는게 닭고기예요
닭고기 간식은 많지만 그중에서도 굿데이 닭고기 간식을 가장 좋아해요
이전에는 굿데이에서 출시되는 다양한 종류의 닭고기 간식을 사서 급여했지만 앞으로는 굿데이 소프트 닭고기 간식 위주로 먹이려구요

또 다른 젊은(?) 강아지는 여전히 다양한 굿데이 강아지간식을 먹이고 있어요
품질좋은 굿데이 건강한육포 소프트 닭고기 간식 
강아지들이 좋아하니 저도 기분 좋네요",11,351,3,5,0
