,category,manufacturer,product,name,date,rating,text,newline_count,review_len,special_char_count,manufacturer_count,product_count
0,반려동물용품,굿데이,건강한육포 반려견간식,박*현,2019.03.24,1,"자주 사먹이는 간식인데.. 이번에 개봉했을때 암모니아냄세? 같은 콤콤한 냄세가느껴져서 ... 두봉지뜯어맡어봣는데 저는 확 느껴지는데 엄마랑 아빠는 마른 건어물에서나는 냄세라고하시더라구요..

근데 저는 똑같은제품 여러번 샀는데..  이런 냄세는첨이라 직접 먹어보기도했어요.
맛봣을땐 냄세가안나고 하나만꺼내서 맡아봐도 냄세가안나는데...
왜봉지에 코를대보면 콤콤한냄세가나는건지...모르겠어요.
유통기한도 괜찮았는데 말이죠.
일단 한쪽 줘봣는데 저도먹어보기도했구요.
괜히준건가 싶기도...
버릴걸.. 그랫나 싶기도...ㅜ


ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ

3월27일 후기다시남김.

장염생겼어요.
특별하게 이상한음식 준적없고. .
병원에서도 최근이상한음식없었냐는데 이것밖에 생각나지않네요.
병원비만 90만원가까이나오고 정말...
미치겠네요.

저도 이 제품은 항상 먹이던거고 이런 냄세난적 없었는데 사놓고 10일이상 넣어둔거라 반품하기도그렇고 엄마도 괜찮다해서준건데
그냥버릴걸그랬나싶어요.

어떻게이런걸파나싶고요. 화가너무납니다.


우선 병원에서는 장염이라는것 외 정확하게 이 간식탓이라는 말은할수없었어요.
간식을어디보내서 확인한것도아니고.
저도정신이없어서 병원다니고 약먹이느라 간식업체로 클레임걸세도없었구요.
검사비 수액 약값 다해서 100만원이상나왔어요.

저는 평소 먹던것  외 다른건 이거밖에 없었기 때문에 간식문제라고 95프로이상 생각합니다.

기분나빠서 강아지병원갓다온후 세지않게 혹시나 배고픈고양이가 뜯어먹을까 꼭 꼭 싸매서 버렸어요. 
저는 이전에도말했지만 이간식 처음먹이는것도아니고 냄세나는걸알고 (가족여럿에게물어보고 냄세는 좀나는데 원래이런것이라는말을 그냥 은연중에 동의하고) 먹였다는것에 후회를 너무했어요. 내 가족같은 아이가 죽을뻔했다는것에 너무나 놀랐고 믿을수없는간식은 참많구나 느꼈습니다. 꼭 냄세나는간식  의심스러운간식은 주지마세요.

참고해서구입하시면 좋겠네요.",37,954,3,0,0
1,반려동물용품,굿데이,건강한육포 반려견간식,은하수다방,2019.09.28,1,"두번째 구매 입니다

6마리 댕댕이가 잇어 간식 값도 있지만 인터넷이 종류가 다양해서 애용하고 있으나 요근래 주문한 간식들이 상태가 영 안좋더라구요

그동안 잘 안보고 줫던게 미안해 져서 요즘엔 잘 보고 줍니다 

요렇게 껌 삿는데 한봉지 빼고는 다 검은색으로 변질되어 있던 제품이 한두개가 아니더라구요 

요것도 첨 주문햇을땐 상태가 좋앗던걸로 기억해서 재구매 햇는데

이번에는 영 별로네요 사진과 같이 이건 곰팡이 핀걸로 확인되네요

처음 발견햇을땐 이것보다 심햇고 육안으로도 확인 될 정도였으니까요
사진은 듀번째 발견하고 찍었습니다

이제 이 제품도 마지막 구매였습니다 

구매하는건 자유겟지만 구매하시고 잘 확인하고 주는게 좋을듯 싶네요
그래도 구매하고 변질된거 없는지 걱정하는 것보다 돈 좀 더 주고 좋은거 사먹일래요 어차피 아파서 병원가는 돈보단 안아프고 좋은 간식 먹이는게
말못하는 댕댕이를 위해 최선의 방법인 것 같습니다",19,467,0,0,0
2,반려동물용품,굿데이,건강한육포 반려견간식,최*진,2019.11.13,1,"제조 2019.03.17 유통기한 2020.09.16
유통기한내 상품이고 색깔도 멀쩡해보여서 뜯음
한봉지 뜯는데 이게뭔냄새? 걸레냄새남
코앞에 갖다대고 맡으니 코를찌르는 쨍하고 시큼하고 암모니아 냄새같고 말그대로 코가아픈냄새 남
설마하고 두번째 봉지뜯었는데 똑같음 ㅡㅡ
세번째봉지는 그래서 뜯지도 않음
만원 그냥 버렸음 우리강쥐 먹이고 아프니 만원 버리는게 나음
저렇게 작게잘라서 노즈워크용으로 주려고 산건데....
판매자에게 냄새맡아보라고 다시 주고싶은 마음임",8,258,1,0,0
3,반려동물용품,굿데이,건강한육포 반려견간식,김*주,2021.05.16,1,아이가 엄청 잘먹긴하는데 너무 급하게 먹다가 자꾸 토해서 제가 잘게 자르고 있는과정에 실밥이 엄청 나와서 깜짝 놀랬네요.처음엔 살고기 결이나  힘줄인줄  알았는데 이건 살코기와 분리되어   찢어지지도 않고 여러가닥으로  바로 풀어지는게 실밥이네요!! 어짜다 불량  하나 나왔나보다 그것만 버리고  넘어가려고했는데 고  계속 나오네요. 3봉지 중에 한봉지 절반도 안되게 가위로  작게 자르는  작업중인데 거의 평균 2개마다 실이 뭉탱 이로 나오니  갑자기 화가 치미네요. 처음 몇개는 절반만 잘라서 그냥 먹게줬었는데 실을 얼마나 먹었을 지 생각하니  짜증나네요. 이런걸 애들 먹이라고  판매하누 건  아니지않아요? 혹시 모르고 판매  하셨다면 ... 나머지도 전수조사해서 팔지마시기 바랍니다!,0,386,4,0,0
4,반려동물용품,굿데이,건강한육포 반려견간식,김*성,2019.11.22,1,"제품이 이상한건지 그냥 우리 애랑 안 맞는건지..
오리는 잘 맞아서 산건데ㅜㅜ

처음 먹은 날 토했다가
두번째는 토 안 했는데
세번째 먹고 토도 못 하고 숨 제대로 못쉬고 거품 물어서
새벽에 뛰어서 병원 데리고 갔어요
가는 길에 다행히 숨은 쉬어졌는데 숨 소리는 계속 이상했고
엑스레이 찍고나서
마취하고 목 들여보는거 권유하길래, 일단 숨 쉬니까 마취는 싫어서 하루 더 지켜보겠다고 데리고 왔어요.
집 도착해서 다행히 토했고
성인주먹 4개만큼 엄청나게 많은 양의 끈적이는 거품과
이 간식이 나왔어요ㅜㅜ

이거 때문이라고 단정지을 수 없지만
두 번이나 구토하고 어제 호흡곤란 겪으니까 못먹이겠어요ㅜㅜ
버릴거예요ㅜㅜㅜㅜㅜ",16,345,0,0,0
5,반려동물용품,굿데이,건강한육포 반려견간식,김*민,2019.03.25,1,"좀 달라진 건가요,,?
예전에 한 번 구입하고 만족스러워서 재구입했는데
이상하게 더 딱딱해지고 색도 진해지고 고기향이 안 나요.

소형견이라 가위로 반으로 잘라서 주는데 이전에는 잘 잘렸다면, 이번에 구입한 거는 딱딱해서 잘 잘리지도않고 툭하고 부서지네요?
향을 맡아봤을 때도 이전 꺼는 맛있는 향이 났는데, 이번 꺼는 제가 고개를 갸우뚱 할 만큼 다시 몇 번 맡아볼 정도로 고기 향이 아닌 무슨 향인지 모르겠네요

그리구 이 간식 때문인지 확실히 모르겠는데 최근에 구입한 것을 먹인 이후로 피부를 엄청 햝아서 병원다녀왔네요ㅠ

두 개 구입했는데...",9,308,2,0,0
6,반려동물용품,굿데이,건강한육포 반려견간식,김*선,2020.09.04,1,"상품평 좋아서 항상 오리안심만 먹이다가 처음 소고기로 바꿔봤는데 아침에 닭가슴살과 사료먹고 2시간정도 후에 이간식 줬는데 한30 분후 토를 했더라고요.. ㅡㅡ
이거때문 아니겠지 하고 토한거 치우고 늦은오후에 한개더 줬는데 한20분후에 또 토했어요 ㅠㅠ
그런적이 없는데 하루에 토를 두번씩 하니까 이상해서 여기 후기보니까 다른분도 저랑 똑같은 얘기가 있더라고요
아후.. 지금 힘없이 업드려만 있어서 속이 상하네요..
뭐가 안맞는건지..  토한거에 내용물 그대로 있었고요

혹시 모르니 내일쯤 한번  더 줘보고 또 토하면 버려야할듯합니다 내일  다시한번 더 보고 후기 다시 남기겠습니다 ㅠ",6,327,0,0,0
7,반려동물용품,굿데이,건강한육포 반려견간식,박*영,2021.03.13,1,"계속 구매했는데 처음에는 투명하기 까지 할정도로 얇은데다 부드럽고 거기에다 고소한 냄새가 나는 정말 우리 강아지 최애 간식이었습니다.

그런데 점점 품질이 나빠지고 있어요.

어느 순간부터 점점 두껍고 뻣뻣하다고 할까 딱딱하다고 할까 그렇게 바뀌어 버리더니

이번에는 냄새가 이전의 그 냄새가 아니고 이상한 냄새가 납니다.

아이가 이거 먹고 배가 아픈지 설사를 자주해요.

소프트스틱 이라는 이름 답게 다시 소프트해졌으면 좋겠습니다.

점점 굵어 지고 있는데 이게 딱딱해지는데 한몫합니다.
신선하고 고소한 향 났던 이전의 품질로 돌아왔으면 좋겠습니다.

다음에도 한번더 구매하긴 할건데
그때도 이모양이면
딴걸로 갈아탑니다.

초심을 회복했으면 좋겠네요.",19,366,0,0,0
8,반려동물용품,굿데이,건강한육포 반려견간식,박*련,2019.02.16,1,"울 강아지가 잘 먹길래 두번째 구매했는데
이번에 첫봉에서 곰팡이처럼 보이는 검은 물질이 있었는데
냄새랑 다른건 이상없길래
설마란생각에 다른봉지뜯어서 급여했는데
폭풍설사요..!!!!!
토도 하고요
울 애기가 아파서 그런가해서 병원갈려고했는데
다른거 먹이던거 똑같이 먹이고
그 검은물질이 찝찝해서 이거 급여중단했더니
설사도 토도 멈췄네요
다 버립니다..!!!!
강아지먹이는 음식 잘 만드세요
양심팔지마시고..!!",12,228,11,0,0
9,반려동물용품,굿데이,건강한육포 반려견간식,이*희,2020.07.31,1,"아진짜ㅡㅡ열자마자 썩은내 상한내가  진동을 해서 혹시나해서찾아봤더니 그런분들이 많네요
찾아보기전에 설마 마른냄새겠지 하고 두개 먹였는데 변도 묽게싸고ㅡㅡ 돈아까운거보다 먹인게 너무 후회스럽네요
 이 회사꺼 오리도먹였었는데 참기름 냄새가 나서 의아했는데 오늘 이거 개봉해보고나니까 오리도 문제 있는제품 기름 같은 거 발라났나 의심스럽네요 
후기를 봤어야됐는데  진짜 후회스러워요",3,210,0,0,0
