,category,manufacturer,product,name,date,rating,text,newline_count,review_len,special_char_count,manufacturer_count,product_count
0,뷰티,뉴트로지나,클렌저,멜로디싱잉,2020.12.24,1,"원래 리뷰를 잘 쓰는 사람이아닌데 진짜 화딱지나서 씁니다.

한국제품인줄알았는대 태국에서 만든 제품이네요.

왼쪽이 태국제품, 오른쪽이 기존 사용하던 한국제품입니다.

평소에 계속 주문하고 쓰고있어서 상세페이지내에 랜덤 배송이라는 말을 못보고 시킨 제 불찰입니다.

여기까지 읽으셨다면, 한국제품이나 태국제품이나 다를게 없는데 왜 별점 1점을 줬을까 궁금하지 않으세요?


우선 제품을 수령했을때 박스가 훼손되어있어서 첫째로 불쾌했습니다. 유독 쿠팡 로켓배송류 제품을 시키다보면 아주아주 빈번하게 일어나는 일이기에 그럴수있다 또 이렇구나 치고 넘어갑니다. 박스는 개떡같이와도 배송이빠르고 내용물에는 문제가 없으니까요. ( 개인차 있음 )

사용을 하려고 뚜껑을 돌려서 오픈하고, 내부의 스티커를 제거하고
다시 뚜껑을 돌려서 끼우다보니 왠걸? 뚜껑이 돌아가다가 부셔졌습니다. 많이 돌린것도아니고 내부가 그냥 부셔져서 다시 끼우는것이 안됩니다.

심지어 뚜껑 외부는 20대 성인남성이 여는데 힘겨울 정도로 딴딴하게 만들어져있습니다. 어제 손톱을 자른바람에 더 힘들게 열었는데요 자칫하다가 엄지손 바깥쪽 살점이 날아갈수 있겠구나 생각이 들었습니다.

무슨 뚜껑하나 제대로 못만드는 공장에서 화장품을 만든답니까?
이거 사용하다가 살점 날아가면 보상해주나요?

맘에들어 사용하던제품이였는데, 이젠 다른플랫폼에서 한국제품으로 구매해야겠습니다.

해당 국가를 비하하려는 의도는 없습니다. 다만 인간적으로 뚜껑 여는데 성인남성이 으득으득 힘을줘서 열어야 한다는게 못마땅하네요.

괜히 뚜껑부터 불만이있으니까 첫 사용해보고 나서 피부가 뻑뻑하고 땡기는 느낌을 처음 받았습니다. 상당히 불쾌해요. (이미 뚜껑부터 기분이 안좋아서 기분탓일 수도 있습니다.)

못믿으시겠으면 직접 주문하시고 메이드인 태국제품 받아보시고 사용해보세요 ..^^",27,906,10,0,0
1,뷰티,뉴트로지나,클렌저,신*진,2019.02.11,1,"12월에 저렴해서 사용하고 있는 제품이 있는 와중에 구매하였고, 
쓰던 제품 다 사용후 며칠전 이 제품을 사용하게 되었는데.. 
갑자기 얼굴에 저렇게 두드러기 같이 올라와서 깜짝놀랐네요. 
원인도 모르고 다시 사용하다 얼굴이 더 망가졌네요 
지금 사용을 중지했습니다. 
쿠팡고객센터에 문의하니 병원소견서 및 확인서등의 제반비용을 본인부담하여 첨부하면 환불해 준다고 합니다. 
배보다 배꼽이 큰경우네요. 
저 처음으로 후기 쓰는거 같아요. 
혹시 이거 구매하시는 분들 저렴한 가격에 
얼굴 망치지마시라고 올립니다. 
제 피부가 예민해서 여기꺼랑 안맞을 수도 있지만 뉴트로지나가 트러블나는거는 처음이네요..
피부과가비용과 시간을 생각하니 머리가 아프네요.",11,364,0,1,0
2,뷰티,뉴트로지나,클렌저,정*영,2017.06.03,1,"한달정도 사용후 상품평 남깁니다. 
어떤분이 지복합에 좋다는거 같은데요.. 저 지복합인데 비추에요.
솔직히 거품도 잘안나고 딥클렌징이라더니 메이크업이 잘 지워지지도 않고...-_- 예전에 사용했을때는 이정도 까지는 아닌거 같았는데..
별로였어요.. 2차세안이나 메이크업 안하신 분들은 사용하셔도 되나..
저처럼 메이크업 하시는분은 다시한번 생각해보세요..
저는 결국 다른 클렌저 하나 더 샀어요...-_-+++++
(이거로만 세안했다가 한동안 트러블 났어요... 딥 클렌저라고 하지만 딥클렌징이 안되요..-_-)",6,286,13,0,2
3,뷰티,뉴트로지나,클렌저,한*옥,2020.07.19,1,"평이너무좋아서 2개나주문했는데 
자녀들은 사용감 넘좋다고하는데 
저는 색조화장도 안하고 그냥 선크림에 진영언니화장품팩트사용하는데여
화장지울때 생각보다 깨끗하게 지워지지가 않아요
클랜징하고 거울을 보면 땡김은 없지만 
깨끗하게세안이 안되요
팩트를 두껍게 바르냐하겠지만 저는 땀이많은편이라
 팩트바르고 1시간정도 지나면 사람들이  팩트좀 바르고 다녀라 할정도로
표가 안날정돈데도 저녁에세안하면 
깨끗이 안지워져요 ㅡㅡ",9,231,0,0,0
4,뷰티,뉴트로지나,클렌저,박*영,2016.10.03,1,"메칠이소치아졸리논 성분이 있다는게 속상했어요
올해 3월에  5ㅡ6개 구입해서 다사용하고 1개남았는데
메디안치약때문에  샴푸랑  싹다뒤져보다가 발견했네요
뉴트로지나 애용했었는데 너무속상합니다",3,105,0,1,0
5,뷰티,뉴트로지나,클렌저,유*임,2017.08.18,1,메칠이소치아졸리논 없다고 해서 샀는데 버젓이 적혀있어요. 황당하네요. 상품상세페이지에 전성분 수정하세요. 리뉴얼 후 상품이라길래 아 없나보다 해서 샀는데 그대로 들어있음. 이미 뜯고 한번 쓴 거라 반품도 못하고.. 그리고 생각보다 세정력도 별로고 거품도 별로예요. 원래 쓰던 해피바스 솝베리가 훨씬 좋네요. 그냥 쓰던 거 살걸.,0,183,0,0,0
6,뷰티,뉴트로지나,클렌저,정*진,2020.04.27,1,"징코클렌징티슈를시작으로 ahc폼. 오휘폼.한스킨오일ㆍ일본것 오래전에산거 슈에뮤라 초록색오일ㆍ식물나라폼 이리써봤거든요
전 약알러지 화장품알러지 없구요 근데 이 폼 가려워요
왜죠?  넘 쓰구나면 가렵네요. 반품도 써서 안되구 맞는 사람찾아 줘야줘  몰까요.  품평남기는 사람도 아닌데 남겨요",2,160,3,0,0
7,뷰티,뉴트로지나,클렌저,달빛s,2018.09.25,1,"리뉴얼 되기전 제품 썼을땐 아무 문제가 없었어요~
리뉴얼 되고 난후에는 파라벤도 들어있고 해서 그런지~
저희 가족 다 피부가 뒤집어졌어요ㅠㅠ
저는 벌겋고 얼굴전체가 가렵고~다른 가족도 벌겋고 두드러기가 났네요~~
이걸로 씻고나면 보습은 커녕 엄청 건조해져서 피부가 벗겨지고 다 일어나요~~
2개나 다 따서 양쪽 욕실에 넣어뒀는데ㅠㅠ
그냥 청소할때나 써야할듯해요..",6,203,7,0,0
8,뷰티,뉴트로지나,클렌저,김*혜,2018.01.29,1,"저는 비추해요.
너무 뽀득뽀득 씻겨서 ....(한번의 세안으로도 너무 강함. 씻기무서워요 일부러 완전 조금 덜어썼는데도 이 제품 자체에 뽀득력(?)이있어서 조금을 쓰더라도 뽀득뽀득 ㅜㅜ너무당기는느낌)
적당한 피부 보호막은 있어야 피부 재생이 되는데
그것 마저도 빼앗아가는것같네요..
촉촉한 피부타입인 편인데 요즘 영 피부가 퍼석해요 ㅜㅜ
2개 구매했는데ㅠㅠ.. 발씻는 용으로 소진해야할거같아요",5,219,5,0,0
9,뷰티,뉴트로지나,클렌저,laella,2017.09.12,1,"그동안 잘 쓰고 있었습니다.

가습기 살균제에 들어갔던 화학성분이 들었다는 후기보고 확인해보니 
성분표에 메칠이소치아졸리논 버젓이 들어있는데 상품소개에는 쏙 빼놓았네요
소비자를 기만하는 회사군요.
아이가 오랫동안 써왔는데 구매하려고 들어왔다가 식겁했습니다.
피부는 폐와 관련있는데 그간 매일 흡수하고 있었다니.화가나네요",6,178,0,0,0
