,category,manufacturer,product,name,date,rating,text,newline_count,review_len,special_char_count,manufacturer_count,product_count
0,식품,계란,1.json,신*,2021.05.31,1,"구매한지 9일째저녁 라면에 계란넣어먹었는데 노른자에서 이상한향이 나더라구요 그래서 노른자는 안먹고 그날 계속 식욕없고 몸살기운났지만 계란이라고 전혀생각못했어요... 다음날 계란산지10일째된날저녁 몸도안좋고 배만채우자생각으로 첫끼로 또 라면에 계란넣었을때 계란깨는데 물이 나오더라구요 진짜 물이또르륵나왔어요. 근데 구매한지 얼마안지났으니 계란문제있을거란생각못하고(너무후회중이에요..) 몸도안좋고 귀찮아서 계란노른자풀어진걸 먹었어요.. 계란은 한입먹고 향이너무않좋아서 반은남겼지만 국물에 다 풀어져서 문제가 생긴것같아요. 인생처음 식중독걸려서 지금계속 미친듯이아프고 고생중입니다.. 이틀동안먹은게아침 유통기한넉넉한직접만든순두부찌게,저녁계란넣은라면,담날저녁계란넣은라면 순두부찌개에 해산물이런거 전혀없이 순두부만넣어서 문제생길일없고 계란이문제인데 진짜 너무 후회중입니다.. 몇천원 아끼겠다고 지금 고생이란고생은다하고......예민하신분들이나 애기키우시는집은 사시는거 정말비추드려요.. 솔직히 다 비추드리고싶지만.... 진짜 상품평들말대로 화학향나고 전 식중독걸렸고... 비추합니다 정말........ (도착하자마자냉장보관했습니다.)",0,573,4,11,0
1,식품,계란,1.json,이*연,2021.02.24,1,"냄새가 너무 나요 ㅜ 다이어트중이라 흰자 삶아서
회사에 도시락싸갔는데 구린내가 너무 심해서  뚜껑을 못열었어요.... 
계속 흰자 먹고있는데 아렇게 냄새나는거 첨이라
다 버렸어여..
군계란 하면 좀 나을까하고 밥솥에 구웠는데
그래도 냄새나요..
아침에 후라이했던 후라이팬에 붙어잇는 달걀도 그린내 나더라구요 이런적 첨이예요..
환불해주세요",7,189,0,1,0
2,식품,계란,1.json,아로미1,2021.06.12,1,"●쿠팡주문을 너무많이 해서 힘들어서 후기 잘 안남기는데
이건 꼭 남겨야겠다 생각들어 납깁니다.

일단 사진처럼 절반이 아직 안되게 먹고 글쓰는거구요.
11개가량 먹었는데 어제새벽에 받아서  오전에 바로 계란 6개로 계란말이를했어요.하면서 껍질에서 약간 날달걀 비린내가 났지만 그러려니~  
깼을때도 노른자가 퍼지지않고 나름 신선해보였는데 계란말이를 먹어보니 너무 맛이없고 비린내가 나더군요.
내가 못만들어서 맛이이런가싶었고...다음날 점심으로 오므라이스를 했는데 혹시나 비릴까봐 계란옷도 완숙으로 익혀 만들었는데 또 비리네요. 이 계란으로 요리만 했다하면 주방에서 계란 비린내가 진동을해요. 밥먹고 신랑이 설겆이 해주길래 그쪽에서 비린내 나냐니까 비린내 난다구ㅜㅜ
저 계란 반숙으로 먹어요ㅜㅜ 노른자의 고소함이 좋아서요.
근데 이건 상상도 못해요.
어떻게 처치해야할지...짜증나 죽겠네요.
여러분~계란이 아무리 비싸졌어도 좀 덜드시더라도 무항생제인증 좋은거 드세요.반숙해도 안비리고 고소한거~다 똑같을거 같지만 아시는분들 다 아시죠? 신선한계란이 진짜 맛있는거..
 진짜 남주지도 못하고...ㅜㅜ",11,557,4,9,0
3,식품,계란,1.json,김*람,2021.06.15,1,항상 (당연히) 국산 계란 먹다가 이번에 처음 주문해본 미국산 계란입니다... 상품평 써 본 적 없는데 먹다가 이건 써야겠다 싶어 남깁니다..결론만 먼저 말하면 사지 마세요...아 무슨 처음에는 토마토달걀볶음을 해먹는데 이상한 약품? 세제?같은 향이 나길래 버터에 문제가 있나 생각하고 오늘은 삶아 먹어봤는데 그때와 같은 향이 나네요..국산과의 품종 차이인지 약품처리를 해서인지는 모르겠지만 (전자인듯) 계란에서 나는 냄새가 확실하고 향이 정말 식재료에서 나는 향이 아니라 더는 못 먹겠네요.. 식감 역시 말로 표현못할 뭔가의 푸석함이랄까 먹으면서 찝찝함이 가시질 않아요.. 국산이 너무 비싸 모험 해볼까 하시는 분들 절대 그러지 마세요..그냥 돈 더주고 국산 사먹는게 나아요..두개 토달볶 해먹고 4개 삶아 한 개 먹었는데 나머지 27개 어찌 처리해야할지 걱정이네요.. 리뷰에 맛있다고 하시는 분들은ㅠㅠㅠㅠ도대체 어떻게 해드신건지 궁금해요 후각이 예민하지 않아도 다 느낄 정도인데..여튼 강력히 비추드립니다 쿠팡 로켓배송 1년여만에 첫 리뷰입니다......리뷰 좀 더 보면 저 같은 분들 많이 계시네요..내가 왜 리뷰를 자세히 안봤을까...........,0,591,6,3,0
4,식품,계란,1.json,유*아,2021.03.14,1,신선란이 아니라 썩었습니다 썩었어. 음식 몇 번째 버리는지 모르겠습니다. 오늘만 해도 두 번째고요. 처음에 한 두 개 썩었나 했는데 몇 개째인지 모르겠네요.,0,87,0,0,0
5,식품,계란,1.json,블랙켓,2021.05.28,1,"계란들을 깨뜨릴때마다 다옆에 하얀것들이 몽글몽글붙어서 같이 뭉쳐나와요 이게뭐죠?
꼭 계란이되는 과정처럼 찜찜합니다
다른곳에서 산 미국계란은 신선했는데
이번 쿠팡 미국계란은 신선하지가 않네요.
그리고 가장좋아하는 계란말이를 했는데 
게란말이를 했는데도 비린맛과 아뭏튼 말로
표현할수없는 이상한냄새가 씹을수록 입안에 다 퍼져
자꾸 고개만 갸우뚱거리게 되고 
내가음식을 먹는건지 알수가 없었어요ㅠㅠ
왜 그런지 모르겠네요? 라면끓여먹다 안터트린
노른자먹다.. 완전 올라올뻔.. 음식에서 왜 이런냄새와
이상한맛과 냄새가 날수있는게  참 신기하네요.
냄새가 역해서 왠지 찜찜해서 다 버렸습니다.
시간이지나니 배도아프고 설사까지 나오고..
쿠팡 국산계란은 늘 구매해 맛있게 먹었었지만
미국 수입계란은 구매할의향이 이번이 마지막인듯합니다.
지금까지 계란먹으면서 이런 희한한 약품같은  냄새나고 맛없는 계란은 처음봅니다. 몸에는 이상없는거겠죠ㅠ.ㅠ;",16,466,2,9,0
6,식품,계란,1.json,이*연,2021.06.01,1,"이거 진짜 안사셨으면 좋겠어요. 어떻게 계란에서 약품냄새가 너무 나서 도저히 못 먹겠어요.
저 전혀 예민하지 않거든요..인스턴트나 불량식품도 잘 먹어요.
근데 이건 너무 심하네요 ㅠㅠ 도저히 먹을 수 없는 수준이에요.
심지어 라면에 넣으면 그 라면에서 화학약품 맛이나서 라면마저 버려야 할 정도에요. 계란값이 너무 올라서 좀 저렴하게 먹어볼까 했는데 남은 20개는 그냥 버려야 할거같아요.
이건 복불복이 아니라 그냥 미국 사육환경 자체가 그런건지
아니면 신선하게 하려고 뭔가 첨가한건지 진짜 아닌거 같아여

저 쿠팡 상품평도 잘 안쓰는데 이건 제발 진짜 안사셔야 할거같아서 씁니다 ㅠㅠ
진짜 시키면 돈 버리는 짓이에요.
차라리 4번난각을 사먹는게 나아요.
그래도 그건 냄새는 안나잖아요 ㅠㅠ
진짜 진짜 비추입니다.",11,399,0,2,0
7,식품,계란,1.json,쪼매난악마,2021.06.02,1,"저번에는 안 그랬는데, 이번건 좀 냄세가 심하네요.
뭐랄까..플라스틱 통에 오랫동안 담겨있던 물을 먹었을때 나는 그 특유의 냄세. 그 냄세 비슷한게 계란에서 나요.
처음에는 프라이팬에서 나는줄 알고 그냥 먹었는데, 라면에 넣어도 다른 프라이팬을 써도 똑같은 냄세가 나네요.
혹시나 해서 생계란을 깨서 냄세를 맡아보니 계란 자체에서 납니다. 간호사 일 하시는 분이 먹어보더니 항생제 맛이 난다고 하네요. 아무튼 특유에 냄세 때문에 2주동안 5개 먹고 아직도 남아있어요.
그 사이 국내산 계란 구매해서 먹는중.
냉장고에 남은 저건 어쩌지...ㅜㅜ
--------------
흰달걀.
재구매.
껍질이 얇아 보관할때 조심. 조리하려고 깨뜨릴때 기존 갈색 달걀보다 잘 깨져서 많이 당황. 조심조심.
맛은 좋음. 황 성분이 갈색 달걀보다 적어 특유에 구린내(?)가 덜하고 맛잇어서 재구매",10,434,17,4,0
8,식품,계란,1.json,이*건,2021.06.16,1,"후라이 해먹으면 아 맛있구나 싶은데 플라시보 일수도 있지만 고소함 정도가 조금 노란 달걀보단 적은거 같습니다
-----------------------------------------------------------------------------------------------------
정정합니다.
수입란을 안사먹어 본게 아닌데 식자재 마트에서 사온 달걀과 맛이 엄청나게 다릅니다.
썩은건 아닌데 썩은 느낌이라고 해야할까요?
전 제가 냉장보관해놓은게 뭔가 잘못된건가 싶었는데....

혹시나 싶어 리뷰란 및 QnA 보니 저같은 사람들이 많네요 구매한 날짜가 12일인가 될텐데 거짓말 안하고 소독약?
흰자는 완전 물러버리고 물이 나오고 껍질안에가 보일정도로 막이 얇아지며 어제날짜로 감동란한답시고 물에 식혔다가 까는데 계란막과 흰자가 분리가 안됩니다. 제가 볼때 시기적으로 제가 구매한 시기에 겹치신 분들 물건들이 하나같이 상태가 안좋은거 같은데 이거 심각합니다 부디 이글 보시는 분들 좀 비싸더라도 국내산 사서 드시길 권고드립니다. 어제 날짜로 계란 22알 다 부셔서 버렸습니다.",8,551,103,2,0
9,식품,계란,1.json,김*균,2021.06.14,1,"요즘 국내산 계란값에 비해 저렴도하고 어릴때 먹던 흰계란이라 방갑기도하고 해서 주문했는데 프라이를 자주해먹는 저로썬 첫맛에 놀랐네요 이게 무슨맛인지 약간 약품처리함거같은데 역겹다고해야하나 ㅜㅜ
계란트라우마 걸릴거같메요 식사후 트림한번했는데 그 약품맛이 올라오네요 이거 다버려야 할찌 꾸역꾸역 먹어야 할지 미치겠군요

6월 15일 추가
약품냄새원인을 알아보니 차아염소산나트륨인걸로 생각되네요
이거 검색해보시면 락스네요 락스를 먹는겁니다
많이먹으면 유해한 성분이구요

예전에 칼로스 수입쌀을 시킨적이있었는데 쌀에서도 같은냄새가 나는거로 기억됩니다

고로 수입하는 모든 식품에 저걸 뿌려대는 모양이네요

그러니 운좋게 차아염소산나트륨을 안맞은 식품은 이상없는거구 대부분 계란에서는 저맛이 나는거네요

이거 미친거 아닌가요?",14,401,1,4,0
10,식품,계란,1.json,이*기,2021.06.22,1,"항상 시켜먹던 국산계란이 계속 품절이라 미국산 한번사봤어요
프레시에떳는데 가격도싸고 뭐 계란맛은 크게차이없겠지하고요
후기를 자세히는 안보고 몇몇분들이 냄새 안난다고해서
쿠팡믿고삿는데 이게뭔가요ㅜㅜ저 냄새에 별로 예민한편이 아니거든요?
근데 이건 진짜 역해요ㅜㅜ말로는 설명이 안되는 거북한 향이나요
첨에 후라이 해먹엇을때 좀 이상한냄새가나길래
혹시 그것만 그런건가싶어서 다른것도해봤는데 오우..
라면이나 국에넣어도 음식전체에 그 알수없는 약품냄새 
삶아도나고 정말 냉장고에서 처치곤란이네요
어떤분이 환불받으셨다고해서 저도 환불요청해보려구요
ㅡㅡㅡㅡㅡㅡㅡㅡ
방금 신청햇는데 회수는 하지않고 바로 환불신청이되네요
혹시라도 저처럼 역한약품냄새로 못드시는분들 꼭 환불신청하세요ㅜㅜ
역시 쿠팡서비스는 최고!!!! 계란은 꼭 국산으로 시킬래요ㅠ",13,409,5,3,0
11,식품,계란,1.json,05rose,2021.05.04,1,"국내산 계란보다 겉면은 깨끗한 편인데 내용물이 부실함.
국내산 계란이 없어서 먹어볼까? 일부러 찾아 먹기에는
영양소가 많이 부족해 보입니다.

생산일자에 비해 계란의 탱탱한 신선함이 떨어지는것 
같고, 계란의 상징인 노른자 상태가 이렇게 색감이 없는건
첨 먹어 봅니다. 후기가 괜찮아서 혹시나 한번 먹어볼까
하고 주문했는데 역시나네요..

돈 좀 더 주더라도 건강 생각해서 노란색 빛이 감도는
국내산 좋은 계란을 먹어야할듯 싶습니다.
가끔 정말 계란 없을때 제외하고는 재구매 안할것 같아요.",11,274,1,6,0
12,식품,계란,1.json,신*정,2021.06.18,1,"아이반찬과 베이킹때문에 계란을 많이 사용하다보니 비싼가격이 부담이 안될수 없던지라 구매했었는데 첨 배송때는 생각보다 고소하고 괜찮길래 재구매했습니다~
재구매때 배송 받은 날 3개 계란후라이해서 먹는데 냄새가 나더라구요~ 전 제손에 묻은 화장품 냄새가 베었나 했어요~
계란문제일거라 생각지 않고 베이킹하고 김밥속재료로 썼는데 김밥에서도 냄새가...ㅠㅠ
혹시나해서 리뷰 봤더니 저만의 문제가 아니더라구요~
상담원통화 했더니 너무 늦게 전화하고 사용량이 있으니 반품 환불은 불가... 그건 바로 전화하지 않았으니 제 잘못이니 어쩔수 없는거라쳐도 이런 문제들이 있는데 원인은 못 찾았으나 검수과정 모두 통과했으니 양해해달라...
암튼 그동안 쿠팡 불만없이 잘 이용했는데 이번에는 대실망입니다~
그냥 좀 싸게 먹어보겠다고 했던 제 잘못이지요~",6,410,6,3,0
13,식품,계란,1.json,김*연,2021.05.09,1,"저렴하고 평도 좋아서 구매했는데 당황스러운 품질이에요.
노른자는 봉긋하게 올라오긴한데, 흰자가 물처럼 흐르고 비린내 많이 나요.
수란이랑 계란후라이 써니사이드업 많이 해먹는데, 흰자는 물에 닿자마자 확 퍼져버려서 수란은 절대 불가하고요, 흰자가 이런 상태다보니 써니사이드업 했을 때도 흰자가 노른자를 잘 잡아주지 못하다보니 엉망으로 완성됐어요 ㅜ

상한건 아니지만 절대 신선하다 할 수 없고요, 베이킹이나 계란 아예 풀어서 하는 요리에만 사용할 수 있을거같아요.
저렴하다고 샀는데 진짜 후회됩니다.",5,278,0,2,0
14,식품,계란,1.json,윤*영,2021.06.09,1,"별한개도 아까워요..
계란 먹자마자 어 이거 무슨냄새지?
라고 생각하고 더 냄새를 맡아보니 확실히
소독약 냄새 맞아요.. 계란말이 하려고
5개 풀었는데 휘저으면서 그 소독약 냄새가 올라와서
코대고 가까이 맡아보니 완전 소도약 화학약품 냄새입니다..
와..2천원.더 주고 국내산 계란 사먹을걸.. 후회막심...
앞으로 흰계란보면 거부감 먼저 들거 같아요..
저 남은 계란들 다 깨쳐서 물에 섞어서 버릴려면
물도 많이쓰고 환경오염도 더 하는 느낌이라
버리는 것도 참 일이네요.. 이렇게 계란 만들지 마세요
이 계란 드시고 맛있다고 하시면 솔직히 냄새에 둔한 분인거 같아요... 그냥 국내산 사 드세요~~~
전 이거 다 버릴겁니다. 절대 안먹으려고요. 
이거 먹으면 정말 몸에 안좋을거 같아요.",13,385,4,7,0
