,category,manufacturer,product,name,date,rating,text,newline_count,review_len,special_char_count,manufacturer_count,product_count
0,출산유아동,고려은단,비타민C,탈*원,2019.04.28,1,고려은단만 몇년째 먹고 있는데요. 분명 같은 고려은단인데 맛이 달라요. 물론 삼켜먹는 알약이지만. . 삼키기 전 처음 입안에 넣었을때 비타민c특유의 시큼함이 느껴졌었는데. 이번에 구매한. . 같은 제품인데도 불구하고 아무런 맛이 안느껴집니다. 뭔가 이상해서 리뷰 남깁니다,0,151,0,2,0
1,출산유아동,고려은단,비타민C,전*숙,2019.02.19,1,"지인소개로 먹고있는데 아직까진 잘몰겠어요
덜피곤하기도한거같구 좀더 먹어봐야겠어요
원래 비타민씨먹음 소변이 노란데 이건 그게없어 좋네요",2,74,0,0,0
2,출산유아동,고려은단,비타민C,박*영,2019.05.14,1,어린이집 선물하려 산건데 장난해요? 먹다 남은거 깉잖아!,0,31,2,0,0
3,출산유아동,고려은단,비타민C,이*은,2020.01.06,1,"비타민은 좋은데,, 포장지가 너무 날카로워요..
늘 사먹는데 이번 겨울에만 베어서 피가 철철난게 두번이네요
개선 부탁드립니다",2,69,0,0,0
4,출산유아동,고려은단,비타민C,조*화,2019.12.28,1,합성 비타민이라 석유 재질로 만들어 졌데요. 소화가 잘 안되요,0,34,0,0,0
5,출산유아동,고려은단,비타민C,쿠팡실구매자,2020.03.09,1,크기도 있지만 재질이 반으로 잘라도 먹기 불편합니다,0,28,0,0,0
6,출산유아동,고려은단,비타민C,요미누나,2020.04.21,1,잘 안먹게돠내욘 ㅜㅜ,0,11,0,0,0
7,출산유아동,고려은단,비타민C,조*순,2020.03.08,1,,0,0,0,0,0
8,출산유아동,고려은단,비타민C,강*정,2021.06.27,1,,0,0,0,0,0
9,출산유아동,고려은단,비타민C,김*순,2020.03.13,1,,0,0,0,0,0
10,출산유아동,고려은단,비타민C,뽀꼬미,2020.10.26,1,가격 변동이 심하네요,0,11,0,0,0
11,출산유아동,고려은단,비타민C,장*균,2021.04.23,1,두배가 넘는 가격이네요.. 어떻게 이렇게까지 가격차이가 많이나는건가요?,0,39,1,0,0
12,출산유아동,고려은단,비타민C,김*영,2020.10.13,1,제가 쿠팡사용하면서 한번도 리뷰를 안썼는데 이번만큼은 불평을 해야 겠습니다. 고려은단 비타민씨는 개별포장이 돼어있어서 땅에 떨어뜨리거나 심지어 조금의 충격을 주기 위해 던져도 정제알약이 으스러지거나 부서지지 않는데 이번에 배달된 상품은 20퍼센트 이상이 으스러지고 부서져있었습니다. 얼마나 충격을 가했으면 개별포장된 알약이 이지경이 되었습니까? 의도적으로 알약으로 야구를 하지 않은 이상 일어니기 어려울 것 같네요.. 아니면 제품에 하자가 있거나.. 쿠팡 너무 실망입니다.,0,264,1,1,0
13,출산유아동,고려은단,비타민C,박*욱,2019.05.15,1,배달도 다른주소로 보내시고재발성 받은것도 이모양이네요 너무하시는거 아니신가요?,0,43,1,0,0
14,출산유아동,고려은단,비타민C,정*주,2019.09.08,1,"선물용으로 가격이 괜찮아 결정.
3개이상 하루에 못사게 되어있어
여러날에 걸쳐 삼
물건자체는 괜찮으나
선물용으로 여러개 구입한거라
포장이 너무 아쉬움
비닐에 포장되어와서
끝부분이 다 찌그러져서 도착 
요걸 어떻게 포장해서 살릴지 그게 문제임
보내는 물건에 맞는지 생각 좀 하고 포장해주세요
상자포장만 했어도 이정도까진 아닐텐데..",10,184,0,0,0
15,출산유아동,고려은단,비타민C,이*주,2019.12.29,1,"알약 색깔이 누렇길래 날짜를 보니 
2012.09.07이라 적혀있네요",1,38,0,0,0
16,출산유아동,고려은단,비타민C,손*선,2019.02.09,1,"상품은만족인데
선물할건데 배송이 개판으로왔어요.",1,26,0,0,0
17,출산유아동,고려은단,비타민C,이*혁,2020.03.13,1,194.4g 2개 주문했는데 한통 밖에 안왔네요. 확인하시고 누락하신 한통 더 보내주세요. 쿠팡 사용한 이레로 처음 있는 일이네요.,0,73,0,0,0
