,category,manufacturer,product,name,date,rating,text,newline_count,review_len,special_char_count,manufacturer_count,product_count
0,헬스건강식품,고려은단,비타민C 1000,조*주,2018.04.22,1,저랑은 고려은단 비타민이 맞지 않나 봐요.먹고 나서 속이 아파 혼났어요. 구토증상도있고 화장실가서 토하고 난리가 아니였어요. 상품 뜯어서 반품도 못하고 다른 가족들 먹이기엔 좀 두려워서 그냥 집에 두고 있어요.,0,117,0,1,0
1,헬스건강식품,고려은단,비타민C 1000,박*천,2019.11.08,1,"선물로 산건데 케이스가 찌그러져서 
제가 먹어야해요",1,28,0,0,0
2,헬스건강식품,고려은단,비타민C 1000,장*란,2020.03.14,1,,0,0,0,0,0
3,헬스건강식품,고려은단,비타민C 1000,장*영,2021.06.28,1,비타민이 너무 많이 반으로 나눠져 있었어요,0,23,0,0,0
4,헬스건강식품,고려은단,비타민C 1000,손*성,2021.06.13,1,,0,0,0,0,0
5,헬스건강식품,고려은단,비타민C 1000,조*주,2018.04.22,1,저랑은 고려은단 비타민이 맞지 않나 봐요.먹고 나서 속이 아파 혼났어요. 구토증상도있고 화장실가서 토하고 난리가 아니였어요. 상품 뜯어서 반품도 못하고 다른 가족들 먹이기엔 좀 두려워서 그냥 집에 두고 있어요.,0,117,0,1,0
6,헬스건강식품,고려은단,비타민C 1000,박*천,2019.11.08,1,"선물로 산건데 케이스가 찌그러져서 
제가 먹어야해요",1,28,0,0,0
7,헬스건강식품,고려은단,비타민C 1000,장*란,2020.03.14,1,,0,0,0,0,0
8,헬스건강식품,고려은단,비타민C 1000,장*영,2021.06.28,1,비타민이 너무 많이 반으로 나눠져 있었어요,0,23,0,0,0
9,헬스건강식품,고려은단,비타민C 1000,손*성,2021.06.13,1,,0,0,0,0,0
10,헬스건강식품,고려은단,비타민C 1000,쿠팡실구매자,2018.05.13,1,상품이야 뭐 말할것도 없이 좋아요 그런데 업체의 일처리가 굉장히 마음에 안듭니다. 분명 상품 구성품에 쇼핑백이 포함되어 있고 선물 목적으로 3개 구매했습니다. 그럼 3개의 쇼핑백도 왔어야 하는데 한두개 안온것도 아니고 아예 오지 않아서 문의글에 남겼더니 쇼핑백만 따로 발송은 어렵고 교환 및 반품을 하라길래 화가나서 그게 무슨말이냐고 실수는 여기서 한 건데 왜 제가 교환을 해야하냐고 했더니 답변조차 없군요 ? 솔직히 제가 먹을꺼면 쇼핑백 중요하지 않고 교환도 상관없습니다. 선물용인데 일처리를 이런식으로 밖에 못합니까 ? 너무 화가 납니다  . 결국 어르신들 선물이라 제가 포장지랑 쇼핑백 사서 포장해서 드렸습니다. 이런 글 하나 쓴다고 여기에 타격 입는 업체 아닌건 알지만 화가나서 적어봅니다. 앞으로 일처리 그딴식으로 하지마세요 ^^ 소비자는 호구가 아닙니다.,0,428,4,0,0
11,헬스건강식품,고려은단,비타민C 1000,이*나,2018.09.21,1,요즘 쿠팡 맘에 안드네요~ 쿠팡 믿고 주문하는데 선물을 막 이렇게 가져 오십니까... 오늘 하루 종일 연락도 없다가 문앞에 툭 놓고 가시면 다  되는 겁니까... 상품평 첨 남깁니다 넘화가사서 !기분 좋은 추석 이렇게 망쳐 주시네요,0,129,2,0,0
12,헬스건강식품,고려은단,비타민C 1000,손*옥,2020.12.24,1,"구매 후 박스를 열었는데 안에 틴박스가 한쪽이 찌그러 졌길래.. 그냥 그런가 보다 하고 열어서 보다 보니 안에 캡슐에 비타민이 상당히 많이 깨져 있더라구요.. 첨에 몇개는 그럴수도 있겠다 했는데.. 갯수가 너무 많아지다 보니.. 속상하더라구요...ㅠㅠ
저도 포장을 다 뜯어 보았으니 어쩔수 없지만 그냥 공기 팩으로 채우지 마시고 뽁뽁이로 잘 감싸서 포장해주시길 부탁드립니다. 조각난 비타민을 먹고 싶진 않아요...",1,231,0,0,0
13,헬스건강식품,고려은단,비타민C 1000,Emma,2018.09.22,1,저번에 샀을때 정말 저렴한 가격에 잘 먹어서 이번에 또 주문한거였는데 이런식으로 하시나요;;물량이 부족하면 진작 연락을 주셔야지 5일이나 지나서 배송중에 품절로 인한 취소라니요 그럼 원래 물건이 없었는데 배송중이라고 띄워놓으셨나보군요 배송중이라고만 안했어도 그렇게 기다리진 않았을텐데 정말 어처구니가 없네요 앞으로 재고 파악 빨리 하시고 그렇게 거짓말로 둘러대지 마세요 정말 기분나쁘네요,0,216,0,0,0
14,헬스건강식품,고려은단,비타민C 1000,이*인,2020.08.02,1,"제품이 몇개용인지 정확히 확인하시고 주문 넣으세요 주문시와 받을때가 달라서 매우 기분 나뿝니다
720정으로 알고 주문했는데 제품을 뜯고 나서야 600정임을 알아서 반품도 하지 못한 상태입니다",1,106,0,0,0
15,헬스건강식품,고려은단,비타민C 1000,장*준,2019.06.19,1,5일동안 배관함에 보관되어 있어서 잘모르겠다. 상태봐서 반품예정,0,35,0,0,0
16,헬스건강식품,고려은단,비타민C 1000,윤*진,2020.10.25,1,"상품을 수령하지 못했는데, 배송완료라고 뜨네요.
확인 부탁드립니다.
감사합니다...",2,46,0,0,0
17,헬스건강식품,고려은단,비타민C 1000,이*호,2021.04.20,1,,0,0,0,0,0
18,헬스건강식품,고려은단,비타민C 1000,굿초이스야,2018.07.31,1,상품을 받지 못하였습니다,0,13,0,0,0
19,헬스건강식품,고려은단,비타민C 1000,오*숙,2021.04.25,1,개별포장 안 비타민 알이 거의 깨져있어요.,0,23,0,0,0
20,헬스건강식품,고려은단,비타민C 1000,장*준,2019.06.19,1,5일동안 배관함에 보관되어 있어서 잘모르겠다. 상태봐서 반품예정,0,35,0,0,0
21,헬스건강식품,고려은단,비타민C 1000,윤*진,2020.10.25,1,"상품을 수령하지 못했는데, 배송완료라고 뜨네요.
확인 부탁드립니다.
감사합니다...",2,46,0,0,0
22,헬스건강식품,고려은단,비타민C 1000,이*호,2021.04.20,1,,0,0,0,0,0
23,헬스건강식품,고려은단,비타민C 1000,굿초이스야,2018.07.31,1,상품을 받지 못하였습니다,0,13,0,0,0
24,헬스건강식품,고려은단,비타민C 1000,오*숙,2021.04.25,1,개별포장 안 비타민 알이 거의 깨져있어요.,0,23,0,0,0
25,헬스건강식품,고려은단,비타민C 1000,정무게,2019.01.14,1,,0,0,0,0,0
26,헬스건강식품,고려은단,비타민C 1000,윤*희,2018.12.18,1,,0,0,0,0,0
27,헬스건강식품,고려은단,비타민C 1000,양*화,2018.11.18,1,,0,0,0,0,0
28,헬스건강식품,고려은단,비타민C 1000,황*기,2018.10.23,1,,0,0,0,0,0
29,헬스건강식품,고려은단,비타민C 1000,최*영,2018.10.17,1,,0,0,0,0,0
30,헬스건강식품,고려은단,비타민C 1000,정무게,2019.01.14,1,,0,0,0,0,0
31,헬스건강식품,고려은단,비타민C 1000,윤*희,2018.12.18,1,,0,0,0,0,0
32,헬스건강식품,고려은단,비타민C 1000,양*화,2018.11.18,1,,0,0,0,0,0
33,헬스건강식품,고려은단,비타민C 1000,황*기,2018.10.23,1,,0,0,0,0,0
34,헬스건강식품,고려은단,비타민C 1000,최*영,2018.10.17,1,,0,0,0,0,0
35,헬스건강식품,고려은단,비타민C 1000,쿠팡실구매자,2018.08.21,1,,0,0,0,0,0
36,헬스건강식품,고려은단,비타민C 1000,쿠팡실구매자,2018.08.15,1,,0,0,0,0,0
