,category,manufacturer,product,name,date,rating,text,newline_count,review_len,special_char_count,manufacturer_count,product_count
0,홈인테리어,르미에,캔들,이*정,2021.05.07,1,"후기 잘 안남기는데 여기제품은 최악이라 말을 안할수가 없어요
향기? 5분 나다 없어져요
그으름? 사진 보이시죠? 작살 남니다
욕실에 켰다 거울이 이걸 논부위만 까매서 닦아보니 완전 쉣! 그으름 탓
돈이
아까워서 선반에두고 어쩔수 없이 켜놓는데 여러분
보이십니까? 
저거  그으름이요
연기는 바람한점 없는데 왜 저리 나는지
지난번 다이소 5천원 짜리와 비교 사진도 올렸는데
5천원 짜리도 병이고 욕실 유리가 저리 까맣게 되진 않아요
판매자님 알고 파는건지요?
이쯤 되면 양심 있냐? 묻고 싶음
그냥 남의 벽지가 까매지건 향 안나고 그으름만 나건 본인 돈만 챙김 그만인건지 묻고싶음
이런 최저가의 물건을 비싸게 받고 파는 이유 고발하고 싶은 심정
아기 있는 집 절대 여기제품 쓰지마세요
슈퍼에서 파는 제사용 초도 이렇진 않아요
제가 향초나 향수제품 절에 쓰는 초까지 달고 살아서 아는데 절에서도 그으름 나는 건 반품하고 구매 안해요.그으름과 연기가 심한건 저가용 제사용 초거나 
파라핀이 아주 저가란 거거든요
다이소 제품 알뜰히 다써도 이정도의 그으름 절대 없습니다.판매자&제조사는 저가의 쓰레기 같은 용품 소비자 우롱해서 눈속임 마시길
잠깐은 속이고 이문 남기겠지만 그로인한 대가는 큰 법입니다",20,611,1,0,0
1,홈인테리어,르미에,캔들,신*만,2019.12.17,1,"일단국산이라고 해서 가격도 저렴해서 샀는데
이건 아니지요
블랙체리 향이 거의 안나네요
양키캔들에 비하면 10%수준
양키캔들 많이 씁니다
심지가 2개 필요 없음
녹는게 사진 보시면 알겠지만 헐~
포장만 굿?
가격은 도둑!
개인적인 면에서 저는 다시는 안삽니다
만들고 사용안해보나..
비슷하게라도 만들어야지
상품평후기  진짜 잘쓰세요
그거보고 샀다가 낭패봤습니다
저같은 1인을 위해  상품평 남깁니다",14,221,2,0,2
2,홈인테리어,르미에,캔들,함*주,2020.08.13,1,"내돈 내산 후기

화이트 머스크 2개 15,000원대로 구입
평도 너무 좋고 정말 미친 가격에 구입했다 하고 기분 좋게 언박싱을 했으나..

제품 밀봉되어 있는 비닐을 뜯어도 코를 캔들에 갖다 대야지만 냄새가 났다
이때부터 살짝 불안했으나.. 초가 녹아야 냄새가 나는거겠지 나름 위안삼고

1개는 방 워머로 녹이고, 1개는 주방겸 거실 심지에 불을 켰다 ( 참고로 저희 집은 주방분리형인 원룸임)
약 5시간 진행 했을까....그냥 정말 미미한 냄새가..ㅠ 냄새 정말 없습니다.

이후에 손님분들 오셨는대 다 캔들이라고 말하기 민망해서..
하 저거 언제 다 쓰지..
다른 향은 모르겠지만 화이트 머스크 향기 1도 없다고 말할만큼 정말 기대하지 마세요
원룸집에 2개를 키워놔도 뭔냄샌지도 모르게끔 혼자 놉니다

내돈내산 후기..
가성비 좋아하다 큰고 다친 제 후기입니다..ㅠ",17,431,2,0,2
3,홈인테리어,르미에,캔들,이*호,2021.05.20,1,"흠.... 양키캔들 쓰다가 국산이라서 한번 주문해봤어요
그런데.. 새상품이 맞는지...의심이 가네요
쓰고 재활용했는지.. 기부니가 안좋네요..
2개사서 하나사용해보고 왜이래 모양이 사용한거같지?란 생각이 들더군요.. 하나더 까서 봤는데 사진과 같이 조각이 떨어져 있고
유리용기에 다 묻어있고.. 새상품이 맞는지 .. 참.. 둘다 뜯어서 
걍 쓰는데 재구입은 없네요..
싼게 비지떡이 맞네요 후....",6,223,0,0,1
4,홈인테리어,르미에,캔들,김*진,2021.01.24,1,"이건 뭔가요???
워머로 하루종일 켜놔두 향은 나지두 않길래
촛불로 켜놨더니 그을림만 생기구
작은방에 문닫아 봐도 향1도 안나구
콧구멍만 난리났네요
몇년째 캔들 많은거 써봤지만 저런건 첨보내요
두개 저렴하게 팔길래 첨 사봤는데
어처구니가 없네요
제가 리뷰 정말 귀찮아서 안쓰는 사람인데
너무 화가나서 올립니다
저런 쓰레기 상품은 저렴한것두 돈이 아깝네요
판매자님 저런거 팔지마세요",11,212,0,0,1
5,홈인테리어,르미에,캔들,이*정,2021.04.17,1,"사지마세요.다이소 5천원 짜리보다 향도 안나고 깨끛이 타지도 않고 그으름 냄새만나고 그로 인해 머리 아픔요
아까워서 화장실에다 두긴 했으나 써본중 최악임
박스버려서 환불도 못하고 쉣중에 탕오브탑입니다
무슨 생각으로 만든건지 비교사진 보여드립니다
흰색 5천원짜리 다이소 제품 끝까지 한번의 그으름 없이 탐
향기 멋지게 집안가득 퍼짐

이곳제품 노랑 후리지아 벚꽃 라벤다 모두 반도 안타 온병에 그으름이 일기 시작함
머리 아프고 초타는 파라핀 용액 냄세만 나서 머리 오지게 아픔요

결론 여기꺼 사느니 향 도 좋고 질떨어 지지않는 
다이소 2.3.5 천원 짜리가 가성비 갑입니다
제주위 모든 사람이 실체를 보았고 모두 다이소에 몰표를 주었어요
진심 이집제품 돈아깝습니다
5만원 넘게 샀는데 이돈이면 다이소껄로 꽉꽉 구비하는게 갑입니다",14,408,0,0,0
6,홈인테리어,르미에,캔들,김*연,2020.04.30,1,"캔들쓰면서 이런경우 처음이에요
평이 좋던데 저꺼만 불량이 온건지
이 캔들만키면 바로 반응이와요 콧물 계속 나오고 재채기 계속 나와요
원룸인데 진짜 무슨 화생방안에 있는것처럼 숨을 쉴수가없고 죽을거같아요 괴로워서 킬수가없어요 어디 질환있는 환자아닙니다
저는 비염도없고
여태 다른 캔들을 써봐도 이런경우는 한번도없었거든요
너무 놀랐네요
아무래도 불량인거같네요
반 이상 남았는데 몸에 엄청 해로울거 같아서 찝찝해서 그냥 버리려구요
돈만 버렸네요 이 브랜드꺼 처음 써봤는데 저랑 안맞나봐요 다신 안사게요",9,277,0,0,3
7,홈인테리어,르미에,캔들,문*호,2021.05.25,1,"전체적으로 별롭니다.

1. 향이 얕고 싼 냄새가 납니다.
2. 사진을 보시면 한쪽이 망가져서 꺼집니다.
3. 녹는 모양새도 불량같이 보입니다.

사실 양키캔들인지 알고 착각해서 구입했어요.
가격이 워낙 싸서 제대로 보지 못했죠.
근데 그것도 그럴것이 양키캔들의 외양을 거의
유사하게 카피를 했기 때문이고
그래서, 양키캔들이 외부를 리뉴얼을 했나봐요.

양키캔들만 써 오다가 이 제품을 첫구매한지라
비교해서 별로 일 수도 있지만
제품 자체가 제겐 완전히 별로네요.

처치가 곤란해서 빨리 태우려고 하네요.
가격이 양키캔들과 5천원 차이인데
질의 차이는 그 20배는 되는 거 같아요.

라지자가 10개월은 쓰는데
차라리 약간 더 지불하고 괜찮은 
제품을 사는 게 맞는 거 같아요.
국산이라고 그냥 넘기는 게 합리적인 소비가 아니죠.",23,408,0,0,5
8,홈인테리어,르미에,캔들,한*훈,2020.08.11,1,"양키캔들 사용했던분들은 그냥 양키캔들 추천합니다
진짜 양키캔들 쓰다 이거 쓰려니까 향이 너무 별로고
발향 진짜 실망하실듯
가격이 반값이니 큰 기대는 안했습니다
양키캔들 사용하셨던 분들은 사용 안하시는게 좋을거같네요
향이 너무 저렴하고 퍼지지 않아요 
양키캔들 5분 켜놓은것도 따라잡지못합니다
귀찮아서 상품평 잘 안쓰는데 자는내내 켜두었는데 일어나서 향이 안나니 자다깨서 쓰고있네요 양키캔들 재구매 해야겠어요..",7,229,0,0,6
9,홈인테리어,르미에,캔들,김*균,2021.01.04,1,"귀찮아서 왠만하면 후기 안남기는데 너무 어의없어서 다른 분들 참고삼으시라고 남깁니다.
지금 거실에서 쓰고 있는 양키캔들의 블랙체리 향이 너무 좋아 방에서도 써보려고 양키캔들 하나 더 구매하려다 같은 향이고 용량은 같은데 가격은 양키캔들의 반값이라 테스트 차원에서 구매했는데...
아...싼게 비지떡이라는 말이 딱 여기에 적합한 표현이네요.
블랙체리는 무슨.ㅠ
그냥 시큼한 체리 냄새와 무슨 석유 연소되는 냄새가 혼합되서 나네요.
정말 후회 막심.
결국 양키캔들 하나 더 구매했네요.
정말 정말 비추입니다.",7,282,0,0,4
