,category,manufacturer,product,name,date,rating,text,newline_count,review_len,special_char_count,manufacturer_count,product_count
0,홈인테리어,써지오,멀티탭,최*빈,2018.12.12,1,이딴 쓰레기도 물건이라고 팝니까???  보면 딸깍이를 켰는데도 맨 밑에쪽은 불이 안나옵니다. 저기에 콘센트를 꽂으면 지지지직 소리가 되게 크게 나고요. 다른거 하나는 코드부분 뽑히고 망가졌습니다. 갑자기 충전이 안되길래 뽑아보니 콘센트에 꽂혀있더라고요. 덕분에 전기기사님 불러서 코드부분 뽑았네요. 여태 전자기기 쓰면서 한번도 이런 일 없었는데 이런 쓰레기 팔지마세요. 두개 샀는데 둘 다 산지 50일만에 망가지고 고장났습니다. 전기가 통하는 물품을 이따위로 팔아도 됩니까?,0,265,4,0,0
1,홈인테리어,써지오,멀티탭,이*희,2019.01.12,1,"별점 하나도 주기 싫은데 하니가 최저라 하나 햇습니다.
4구 2개 시켯는데 하나는 1-2개월만에 콘센트 쪽에서 뻑가서(검게그을림. 심지어 퍽 소리와 함께 훅가심)새걸로 바꿧는데 바꾼건 3개월 안된거 같은데 개별안전장치가 3-4일전부터 작동이 안되더니 오늘 탄냄새가 나서 봣더니 연기가 슬금슬금 올라오고잇더라구요????
집에 불났으면 어쩔뻔했습니까??
스파크도아니도 콘센트 안에서부터 연기가 나기시작햇습니다.
집에 35개월 19개월 아기랑 있었는데 불나면 어쩔뻔했어요??
로켓배송도 좋고 다 좋은데 물건 좀 좋은걸로 해주세요.
진짜 속에서 지금 천불나고있습니다.",6,313,12,0,0
2,홈인테리어,써지오,멀티탭,김*영,2017.07.06,1,"와...
이거 별 1개도 아까워요

상품평이 반반이라 설마 했는데...

기존 사용하던 멀티탭 4구 중 한개가 깜빡 거려서 구입 한건데...
와... 저 욕나올뻔... 

헐거워도 너무 헐거워서 문제 생길것 같아 설치 하다가 다시 정리해서 넣어 뒀습니다.

쿠팡에서 이 제품은  테스트 좀 해보시는게 좋을거 같네요...

이름 걸고 판매 하시는거잖아요...?!

아무리 하청업체 에서 납품한다 하지만...

제품 고르시는 MD님! 이건 좀 아닌것 같네요!!!

안전하려고 구입하는 제품이 오히려 고객들 안전에 문제가 생길것 같습니다.

판매 중단 하시는게...",20,313,6,0,1
3,홈인테리어,써지오,멀티탭,강*영,2020.11.02,1,"터졌어요ㅠㅠ  쿠팡측에서 가르쳐준번호는  없는번호로  나오고  심지어 쿠팡측에서  문자오길  사용중에  발생한일이라서  도움을 드릴수 없다입니다  ..  멀쩡한 온열기만  나가서   또 사야했어요  ...복불복이지만..  펑터지는 순간  옆에 옷에 불꽃이라도 옮겨 붙거나  근처에 사람이라도 있었음  어째을까 싶네요   화재순간이구나 싶어요ㅠㅠ  뉴스에세  누전이나 여러가지 요인으로 화재가 나는데 이런 멀티탭도 조심해야합니다 ...그리고 쿠팡에서도  너무 나몰라라 하십니다ㅠㅠ............

...그후  전화번호 다시받은후  업체 연락되어서 물건 보냈어요   조사후 연락 주신다고 합니다",2,334,0,0,1
4,홈인테리어,써지오,멀티탭,솔직합니당,2017.10.12,1,"오늘 받았습니다
고무냄새는 살짝나구요
문제는 뭐 꼽을때마다 딱 꼽는곳끝?이 살짝 스파크? 튀듯 빤짝!해요
몇번을 해봐도 그런데 확 튀는게 아니라 그 꼽는 부위 끝자락에서 반짝! 밝아졌다 꼽으면 이상없으니..
조금 무서워요 사실
급해서 쓰긴하는데 무서움 ㅠㅠ
침대 옆에 놔서.. 뭔일 없겠지 하며 씁니다
근데 꼽을때마다 눈으로 보이니..거참 신경쓰이네요
생각나면 동영상 찍어볼께요 ㅜㅜ


ㅡ
하루지나 한번 더 올려요
키면 이상한 소리나요 ㅡㅡ
침대옆이라 자려고 누우면 들려서 신경쓰이네요
다신 안사요",15,279,4,0,0
5,홈인테리어,써지오,멀티탭,박*준,2018.01.18,1,"싼 맛에 사지 마세요
사진에는 잘 안보이는데, 접지가 제대로 안되서 쓰다보니 자꾸 전기 흐르는 소리나, 달그락달그락 같은 소리가 나더라구요
사진 자세히 보시면 충전기 콘센트 부분이 살짝 그을린거 보이실거에요

저렇게 그을리게되서 소리가 나는거.... 좋은거 사세요.....",4,152,0,0,0
6,홈인테리어,써지오,멀티탭,장*영,2018.11.10,1,"써바야겟지만 집에 있는게 오래되서 삿어용
괜찮은것같아용
------------------------------------
18년 11월8일 배송받았어요.
글을 쓰는 지금은 19년 6월 7일 아침 6시네요.
신랑이 씻고 머리 말리는데
콘센트가 터져서 작은방에 탄냄새 엄청나요.
신랑 다치기라도 했다면 어쩔뻔했는지ㅡㅡ
어제 저녁에도 세 아이들 씻고 머리말렸는데
애들 쓰다 터져 다치거나 불났음 클날뻔 햇네요.
아침부터 성질나네요.
멀티탭 쓰면서 이런일 첨이에요.
싸게 샀다고 좋아했더니 좋아할게 아니었네요..",12,282,36,0,1
7,홈인테리어,써지오,멀티탭,호룰룰룰,2019.01.20,1,"한달째 쓰는중에 오늘 개별 스위치 끄는데 갑자기 펑! 하면서 스파크 튀엇어요;;;;; 졸라 깜짝 놀람;; 탄내나고;; 
불나는줄 알고 식겁탓네요.. 전기장판꽂아서 썼는데. 전기장판 이제까지 다른 멀티텝에선 잘되고 문제 없었는데;; 이 멀티텝이 문제인가봐요... 무서워서 못쓸거같아요ㅠㅠㅠ 아 울집 멀티텝 다 써지오껄로 3개나 쓰고 있는데ㅠㅠㅠㅠ짜증
—————-
버튼 펑 터지고 멀티텝이 없어서 1.5m 새거에 쓰고 있었는데 
몇주 뒤 새거인데도. 또!!!!! 개별 끄는데, 또 터짐 스파크튀고, 탄내나고 ㅡㅡ 넘 위험함... 두번째라서 안되겟음...그냥 마트에서 비싼거 사야겠음",4,323,7,1,0
8,홈인테리어,써지오,멀티탭,핑크티티,2020.03.12,1,"# 기존 멀티탭이 수명을 다하셔서...2014년에 샀는데 꽤 오래 썼네요.
길이도 1.5m로 적당했고, 안전커버까지 준다고 해서 횡재했다 싶었는데...
두 어달 사용하고 나서 전원을 켜면 파지직 소리가 나고 깜빡이더니, 퍽하고 터졌네요.
저한테 배송온 것이 불량이었는지...
다른 후기들 보면 잘 쓰고 계신듯 한데, 뭐지?

# 감전되거나 불이 나지 않은 것을 다행으로 생각하며, 멀티탭은 비싸더라도 안전을 위해 철물점이나 전파상에서 구매하려구요. 
진짜 공포였네요. ㅠㅠ",7,264,3,0,2
9,홈인테리어,써지오,멀티탭,이*승,2019.02.10,1,"3개월만에
파박터지면서 작동안합니다
탄 내도나구요

환불도아니고 왜그런지 문의하니 구매후한달 지났다는 기계적인 답변이내요

집에 불날지 모르니 비추입니다
전원나간 사진 첨부합니다",7,99,0,0,0
