,product_review_index,product_index,category_index,review_date,review_rating,newline_count,review_len,special_char_count,manufacturer_count,product_count,review_score,c1
1599,199,6663,6665,2021-06-01,5,37,669,29,2,0,99,1.2645739910313902
6252,797,61420,61422,2021-04-20,5,53,1035,112,8,5,99,12.205797101449276
6295,801,61420,61422,2020-07-28,5,81,1297,87,24,9,99,6.342328450269854
6336,805,61420,61422,2021-03-11,5,23,406,43,6,5,99,4.704433497536946
6363,808,61420,61422,2020-03-16,5,21,378,34,2,2,99,3.0793650793650795
6374,809,61420,61422,2019-12-23,5,21,369,39,4,2,99,4.176151761517615
6451,816,118165,118167,2020-03-17,5,23,394,40,2,2,99,4.081218274111675
6487,820,61420,61422,2021-04-26,5,34,717,32,6,8,99,1.5676429567642958
6616,833,128217,128219,2021-06-23,5,44,665,47,0,6,99,3.3774436090225564
6638,835,128217,128219,2021-04-05,5,66,963,32,0,7,99,1.115264797507788
6785,849,128217,128219,2021-06-08,5,34,514,94,0,0,99,17.19455252918288
6917,861,140447,140449,2021-06-05,5,63,1353,31,6,16,99,0.9260901699926091
6952,864,140447,140449,2021-02-23,5,28,1636,107,6,7,99,7.050122249388753
7201,886,61420,61422,2021-02-22,5,17,350,29,0,2,99,2.4171428571428573
7520,915,140447,140449,2019-09-21,5,56,1027,31,0,6,99,0.9717624148003895
9386,1121,159150,159152,2019-09-24,5,22,472,47,2,0,99,4.690677966101695
9568,1140,159150,159152,2020-09-03,5,47,682,51,0,0,99,3.8167155425219943
9609,1145,159150,159152,2020-09-03,5,47,682,51,0,0,99,3.8167155425219943
9625,1147,111717,110887,2021-06-06,5,24,321,32,0,0,99,3.196261682242991
9769,1161,177865,177867,2021-04-12,5,25,1173,37,4,8,99,1.2352941176470589
9779,1162,177865,177867,2021-01-18,5,18,1248,42,0,11,99,1.5112179487179487
9788,1163,177865,177867,2021-01-05,5,16,1105,37,0,7,99,1.284162895927602
9810,1165,177865,177867,2020-12-23,5,132,1179,94,4,4,99,7.521628498727735
9832,1168,42617,42619,2020-12-28,5,77,1574,91,0,20,99,5.515883100381195
9862,1171,42617,42619,2017-06-21,5,47,816,43,0,7,99,2.327205882352941
9883,1173,42617,42619,2017-06-28,5,62,1178,118,1,7,99,11.862478777589134
9893,1174,42617,42619,2017-09-08,5,51,939,90,0,3,99,8.636847710330139
9910,1176,42617,42619,2017-06-27,5,54,1033,46,0,3,99,2.058083252662149
9928,1177,177865,177867,2020-10-18,5,71,945,69,0,1,99,5.04021164021164
9940,1179,42617,42619,2017-05-19,5,32,615,32,0,8,99,1.7707317073170732
10199,1203,177865,177867,2021-05-25,5,43,973,30,0,5,99,0.9516957862281603
10338,1217,42617,42619,2020-04-07,5,7,300,36,0,4,99,4.376666666666667
10432,1226,42617,42619,2020-11-23,5,77,1967,33,0,4,3,0.5622775800711743
10509,1234,42617,42619,2019-11-30,5,40,1133,73,0,15,99,4.902912621359223
